event,sta,ML_cal,ML_header,ML_diff
20051231172159_ML3.3,DBVB,4.317752452839697,3.299999952316284,1.0177525005234127
20051231172159_ML3.3,DHVB,4.434729829261466,3.299999952316284,1.1347298769451817
20051231172159_ML3.3,LCVB,4.446874970874036,3.299999952316284,1.1468750185577514
20051231172159_ML3.3,MCVB,4.065662478589922,3.299999952316284,0.7656625262736378
20051231172159_ML3.3,TGVB,3.930130647914885,3.299999952316284,0.6301306955986008
20051231172159_ML3.3,TTVB,3.839719924726036,3.299999952316284,0.5397199724097517
20060106182759_ML3.6,DBVB,4.9079664222054875,3.5999999046325684,1.3079665175729192
20060106182759_ML3.6,DHVB,4.430849503324754,3.5999999046325684,0.8308495986921853
20060106182759_ML3.6,LCVB,4.7653271780772055,3.5999999046325684,1.1653272734446372
20060106182759_ML3.6,MCVB,4.2113210675031745,3.5999999046325684,0.6113211628706061
20060106182759_ML3.6,TGVB,4.872742009118761,3.5999999046325684,1.272742104486193
20060106182759_ML3.6,TTVB,4.330408653489466,3.5999999046325684,0.730408748856898
20060106182808,DBVB,4.9079664222054875,3.5999999046325684,1.3079665175729192
20060106182808,DHVB,4.430849503324754,3.5999999046325684,0.8308495986921853
20060106182808,LCVB,4.7653271780772055,3.5999999046325684,1.1653272734446372
20060106182808,MCVB,4.2113210675031745,3.5999999046325684,0.6113211628706061
20060106182808,TGVB,4.872742009118761,3.5999999046325684,1.272742104486193
20060106182808,TTVB,4.330408653489466,3.5999999046325684,0.730408748856898
20060112010459_ML4.8,DBVB,2.8802787797684832,4.800000190734863,-1.91972141096638
20060112010459_ML4.8,LCVB,2.95442533865525,4.800000190734863,-1.8455748520796131
20060112010459_ML4.8,TGVB,5.495937577250167,4.800000190734863,0.695937386515304
20060115142929_ML3.0,DBVB,3.886268813985829,3.0,0.8862688139858284
20060115142929_ML3.0,DSVB,3.51851682595327,3.0,0.5185168259532706
20060115142929_ML3.0,LCVB,3.688028280603062,3.0,0.6880282806030622
20060115142929_ML3.0,TGVB,2.087206590884509,3.0,-0.9127934091154914
20060226161229_ML3.5,BGVB,4.108480354067566,3.5,0.6084803540675656
20060226161229_ML3.5,DBVB,2.27887743175011,3.5,-1.22112256824989
20060226161229_ML3.5,DSVB,4.454234477543528,3.5,0.954234477543528
20060226161229_ML3.5,HBVB,4.705344949351157,3.5,1.205344949351157
20060226161229_ML3.5,LAVB,4.4325370145001095,3.5,0.9325370145001096
20060226161229_ML3.5,LCVB,4.561697045283112,3.5,1.061697045283112
20060226161229_ML3.5,MCVB,4.3104497612280905,3.5,0.8104497612280905
