event,ML_mean,ML_std,ML_median,n_component,n_station,distance_min,distance_max,header_ML_mean
20051231172159_ML3.3,4.099517741578271,0.19901677082511018,4.0679651392299,18,6,180.39691162109375,284.2530212402344,3.299999952316284
20060106182759_ML3.6,4.570865499248653,0.24442579647676674,4.521308977446814,18,6,74.96392059326172,289.0690612792969,3.5999999046325684
20060106182808,4.570865499248653,0.24442579647676674,4.521308977446814,18,6,74.96392059326172,289.0690612792969,3.5999999046325684
20060112010459_ML4.8,4.007320477948166,1.3974465533160902,2.95442533865525,9,3,203.63694763183594,257.498779296875,4.800000190734863
20060115142929_ML3.0,3.2054248300702906,0.9060813858879512,3.5958042473059493,12,4,21.472368240356445,307.1416015625,3.0
20060226161229_ML3.5,3.8140928910687957,1.0096098246621343,4.238965797277279,30,10,40.3808708190918,298.0760803222656,3.5
20060316162059_ML3.2,4.016816561703123,0.3480251693052968,3.9600667069418267,24,8,116.62581634521484,260.1788024902344,3.200000047683716
20060403170559_ML3.8,4.959649273380624,0.2312695732652348,4.997610829964712,18,6,168.84536743164062,254.56124877929688,3.799999952316284
20060516142759_ML2.5,3.9886846405962717,0.2654237186416061,3.995991747283022,9,3,150.91827392578125,287.82720947265625,3.4000000953674316
20061111184259_ML3.8,4.436181313535702,0.5146894616494803,4.5283837551790675,18,6,211.1722869873047,288.12274169921875,3.7166666189829507
20061111184559,4.615329759239158,0.23043101367959548,4.569972410270086,18,6,150.56674194335938,288.12274169921875,3.799999952316284
20061123174859_ML3.0,3.6037140048910805,0.4315947224561233,3.403958128861601,21,7,110.01609802246094,268.870849609375,3.0
20061123175055,3.6037140048910805,0.4315947224561233,3.403958128861601,21,7,110.01609802246094,268.870849609375,3.0
20061124120359_ML3.5,4.347898999331277,1.0466115011471062,4.630833617313968,48,16,84.1434097290039,293.8222961425781,3.5
20070401185859_ML3.0,3.8073159782501733,0.19423276648115512,3.7882443941101442,18,6,150.52615356445312,275.3470764160156,3.0
20070502033029_ML-nan,3.578252865871712,1.3436054475275394,2.932122040947238,30,10,100.422607421875,296.19793701171875,4.400000095367432
20070502035959_ML3.5,4.203982430267069,0.8329719729802768,4.448248683957422,39,13,70.56570434570312,299.77008056640625,3.5
20070502182759_ML3.1,4.183851506146509,0.2082193819490631,4.175632701122416,33,11,71.9040298461914,294.73406982421875,3.0999999046325684
20070531154359_ML3.3,3.9612767135616616,0.595946120512469,3.91556770343189,27,9,78.32970428466797,280.6042175292969,3.299999952316284
20070607052959_ML3.3,3.859915914852082,0.623002841955779,3.984501707297436,30,10,49.49027633666992,297.4626159667969,3.299999952316284
20070609121639_ML4.1,4.488143112703095,1.0046549256591708,5.011776427202392,27,9,148.80126953125,290.2500915527344,4.099999904632568
20070721084559_ML3.0,3.805040619620906,0.7980981121909236,4.035573668876169,36,12,18.786535263061523,264.0710144042969,3.0
20070906185059_ML4.2,4.101604782155889,1.3532811516820977,4.974410237976328,45,15,77.45543670654297,299.2337341308594,4.173333152135213
20070906185146,4.083507651403978,1.400017787654379,5.003734060657789,42,14,77.45543670654297,299.2337341308594,4.199999809265137
20080110223559_ML2.3,3.3911991545270803,0.6514022680903185,3.6216690411875962,21,7,43.69486999511719,260.5063781738281,2.8714284896850586
20080210024059_ML3.1,4.089745487563704,0.34292250263758695,4.026695044413218,18,6,52.030479431152344,253.78538513183594,3.0999999046325684
20080225230059_ML3.0,4.104728554769506,0.26669734252332455,4.077992955553631,27,9,69.47908020019531,267.0560302734375,3.0
20080514114559_ML4.7,4.448372747113684,0.9495716202266028,4.764461056173962,12,4,163.22299194335938,244.55178833007812,4.699999809265137
20080514114959_ML3.5,4.616209696617131,0.7998909126224701,4.779659054021078,9,3,164.9890594482422,244.20352172851562,3.5
20080514141559_ML3.7,4.447107537304627,0.3884331255652291,4.477576213759921,15,5,166.8405303955078,251.82615661621094,3.700000047683716
20080807190958_ML3.0,3.931157967632306,0.3580823066169553,3.9249916605249,36,12,57.470314025878906,246.1316375732422,3.0
20080914233801_ML3.8,4.412854952173224,0.2611178228393303,4.3400074081340225,24,8,168.49563598632812,280.0488586425781,3.799999952316284
20081017213707_ML4.1,4.61765927067032,0.7469592429284139,4.777331499279064,39,13,105.9432144165039,278.5331726074219,4.099999904632568
20081019205705_ML3.1,3.9090374984261618,0.2674041593499486,3.910633960889502,30,10,51.93895721435547,283.31329345703125,3.0999999046325684
20081117110359_ML3.2,4.299489672342787,0.24658645546789437,4.349066797876164,24,8,65.5267562866211,275.8617858886719,3.200000047683716
20081202004142_ML3.4,4.4722151547487785,0.6593346896706196,4.6383951390559135,24,8,163.8649139404297,274.66619873046875,3.4000000953674316
20081229194834_ML3.4,4.444944760587668,0.23897563141261433,4.361018876757024,24,8,136.05584716796875,296.5417785644531,3.4000000953674316
20090129043812_ML3.2,4.006098771280725,0.3870520403911959,3.9522630530662353,6,2,153.9355010986328,233.01092529296875,3.200000047683716
20090201045220_ML3.3,4.168763144554946,0.2120682036446268,4.146793914327055,21,7,115.23257446289062,293.5653381347656,3.299999952316284
20090308202736_ML2.8,3.9675649069024987,0.5880389669263338,3.749532582030856,36,12,98.49159240722656,283.3891906738281,2.9666666189829507
20090327144250_ML3.6,4.358104909150737,0.6763256383218694,4.480290109395934,24,8,104.13982391357422,264.5652770996094,3.5999999046325684
20090427221744_ML3.2,4.117132719775177,0.3750771492226341,3.9707920650729096,18,6,179.5499267578125,287.9087219238281,3.200000047683716
20090505171825_ML3.1,3.9473342058439336,0.41221797322561854,4.012120623083164,21,7,155.68881225585938,291.0026550292969,3.0999999046325684
20090519000206_ML3.2,4.120231659995757,0.3047597374372651,4.1645389125888705,45,15,55.88132858276367,298.554931640625,3.200000047683716
20090613053944_ML3.7,4.296060196287033,0.48864559843161687,4.09090167776823,18,6,160.29244995117188,294.8887634277344,3.700000047683716
20090819022442_ML3.6,4.588511666324695,0.27506493017572664,4.457546540676734,24,8,121.00827026367188,284.170166015625,3.5999999046325684
20091001115640_ML3.3,4.299723248256948,0.21147309040167162,4.242824811235893,18,6,165.4374542236328,271.4764709472656,3.299999952316284
20091126044603_ML4.1,3.633644109901699,1.4093411974057368,4.586605402375085,42,14,26.716838836669922,274.6352844238281,4.099999904632568
20091126135901_ML3.6,3.5794287303310277,1.3612894624775598,4.460866693469513,24,8,27.736465454101562,231.4261474609375,3.5999999046325684
20100102190332_M3.2,4.049583666698795,0.12556579349602515,4.113144218541347,3,1,181.56509399414062,181.56509399414062,3.200000047683716
20100106232719_M3.4,4.292751630567018,0.21675901378187842,4.37164462554533,3,1,132.49429321289062,132.49429321289062,3.4000000953674316
20100906041310_M3.4,4.146331932280294,0.11410126591246696,4.200077579659281,3,1,212.51515197753906,212.51515197753906,3.4000000953674316
20101010204633_M3.3,4.281225458239773,0.0834526178035604,4.311299955170056,3,1,167.28494262695312,167.28494262695312,3.299999952316284
20110205153128_M3.0,3.5083196530563083,0.33996430646450326,3.5309868764628964,15,5,77.1772689819336,203.46197509765625,3.0
20110224200421_M3.3,3.879097045479778,0.4484197794941747,3.954104759511093,24,8,70.66927337646484,280.3385925292969,3.299999952316284
20110317181056_M3.1,3.9485974273029143,0.4083573111020532,3.8468033983049432,21,7,55.93606948852539,247.9779815673828,3.0999999046325684
20110327034351_M3.3,4.333955652264856,0.10747710267931301,4.293682021476535,3,1,119.21871948242188,119.21871948242188,3.299999952316284
20110425103049_M2.8,3.1150986297254173,0.5673820735215588,3.389461881837535,15,5,36.155517578125,91.00283813476562,2.799999952316284
20110428020153_M3.3,3.6249140592579088,0.832801392779233,4.040245542144644,12,4,34.259159088134766,99.13928985595703,3.299999952316284
20110629082638_M3.4,4.034805446575615,0.38259886351078093,4.039269601292496,15,5,63.385108947753906,262.3595886230469,3.4000000953674316
20110803060621_M3.2,3.664029124433745,0.22534790620979628,3.7487974380678377,12,4,66.33700561523438,223.50332641601562,3.200000047683716
20111012043216_M3.3,4.0746924058305245,0.40199941910339754,4.138639104123846,27,9,79.05088806152344,287.8874816894531,3.299999952316284
20111102113319_M3.2,4.393376674519442,0.38851427571665464,4.403670254629467,6,2,273.3357238769531,279.9988098144531,3.200000047683716
20111106232556_M3.1,3.4771702390563255,1.1005435172587126,3.7652179373643575,18,6,27.097980499267578,231.4886932373047,3.0999999046325684
20120911085947_M3.0,3.684564840372939,0.037403247831557684,3.6821145681396916,3,1,234.18983459472656,234.18983459472656,3.0
20120929154607_M3.0,3.337312511353396,0.3146104810627436,3.280712020750509,6,2,111.46259307861328,156.64625549316406,3.0
20121122203125_M3.4,3.8060899600996927,0.9527058460865587,3.9523519233041733,9,3,104.98532104492188,244.83627319335938,3.4000000953674316
20121130094018_M3.3,3.6442900593979686,1.0721688748087403,3.3887733670389415,6,2,37.843631744384766,100.29143524169922,3.299999952316284
20130726022311_M3.1,3.9153464228865325,0.12774062025680327,3.9680124333826523,3,1,135.2460174560547,135.2460174560547,3.0999999046325684
20140111055607_M3.0,4.028731561614026,0.6990896638788684,4.031198464409014,6,2,83.04708099365234,157.49668884277344,3.0
20140209113658_M3.1,3.0596138168455034,1.0589016146064307,3.689526915664597,12,4,23.492643356323242,69.74089050292969,3.0999999046325684
20140307080021_M3.1,2.9764158432241454,1.2811808105491422,3.166283176096767,15,5,21.55245018005371,161.338134765625,3.0999999046325684
20140331030840_M3.2,4.069484596688387,0.2899501288940306,3.9962969810266484,6,2,97.71015930175781,140.24667358398438,3.200000047683716
20140520060702_M3.1,4.069114946593048,0.454711253153754,4.2661662920338514,9,3,62.98465347290039,155.24722290039062,3.0999999046325684
20140606211426_M3.1,3.9294024781685764,0.3950026670264556,3.955813299985948,18,6,74.0376205444336,253.5296173095703,3.0999999046325684
20140719144216_M3.2,3.849058161786838,1.4134280901404923,4.559288415976323,9,3,30.264801025390625,163.02752685546875,3.200000047683716
20140722111139_M3.4,4.150106534714561,0.07591640444407023,4.1250929796736635,6,2,59.156471252441406,100.28443145751953,3.4000000953674316
