event,net,sta,comp,distance,header_ML,ML,origin_time,p_pick,p_source,s_pick,s_source,surface_pick,amp_window_start,amp_window_end,peak_time,amplitude_raw_velocity,amplitude_scaled_mm,peak_signed,amp_scale,amp_scale_mode,event_average_ML,reference_ML,reference_ML_source,ML_diff_calc_minus_ref
20051231172159_ML3.3,TW,DBVB,HHE,249.2584686279297,3.299999952316284,4.317752452839697,2005-12-31T17:22:17.348000,2005-12-31T17:22:55.928002,header,2005-12-31T17:23:24.338006,header,2005-12-31T17:25:03.520313,2005-12-31T17:23:24.338006,2005-12-31T17:25:01.520313,2005-12-31T17:23:24.478000,3938.87803312954,3.9388780331295403,3938.87803312954,0.001,auto,4.099517741578271,3.299999952316284,header,1.0177525005234127
20051231172159_ML3.3,TW,DBVB,HHN,249.2584686279297,3.299999952316284,4.086821085251907,2005-12-31T17:22:17.348000,2005-12-31T17:22:55.928002,header,2005-12-31T17:23:24.338006,header,2005-12-31T17:25:03.520313,2005-12-31T17:23:24.338006,2005-12-31T17:25:01.520313,2005-12-31T17:23:34.458000,2314.4146279796664,2.3144146279796667,2314.4146279796664,0.001,auto,4.099517741578271,3.299999952316284,header,0.7868211329356232
20051231172159_ML3.3,TW,DBVB,HHZ,249.2584686279297,3.299999952316284,4.070267799869877,2005-12-31T17:22:17.348000,2005-12-31T17:22:55.928002,header,2005-12-31T17:23:24.338006,header,2005-12-31T17:25:03.520313,2005-12-31T17:23:24.338006,2005-12-31T17:25:01.520313,2005-12-31T17:23:28.558000,2227.8599185782937,2.227859918578294,-2227.8599185782937,0.001,auto,4.099517741578271,3.299999952316284,header,0.7702678475535931
20051231172159_ML3.3,TW,DHVB,HHE,220.04331970214844,3.299999952316284,4.434729829261466,2005-12-31T17:22:12.758000,2005-12-31T17:22:50.817998,header,2005-12-31T17:23:17.338002,header,2005-12-31T17:24:39.453546,2005-12-31T17:23:17.338002,2005-12-31T17:24:37.453546,2005-12-31T17:23:18.078000,6724.559891922535,6.724559891922535,-6724.559891922535,0.001,auto,4.099517741578271,3.299999952316284,header,1.1347298769451815
20051231172159_ML3.3,TW,DHVB,HHN,220.04331970214844,3.299999952316284,4.379467374207621,2005-12-31T17:22:12.758000,2005-12-31T17:22:50.817998,header,2005-12-31T17:23:17.338002,header,2005-12-31T17:24:39.453546,2005-12-31T17:23:17.338002,2005-12-31T17:24:37.453546,2005-12-31T17:23:19.978000,5921.086571616572,5.921086571616572,-5921.086571616572,0.001,auto,4.099517741578271,3.299999952316284,header,1.0794674218913372
20051231172159_ML3.3,TW,DHVB,HHZ,220.04331970214844,3.299999952316284,3.9675433666580155,2005-12-31T17:22:12.758000,2005-12-31T17:22:50.817998,header,2005-12-31T17:23:17.338002,header,2005-12-31T17:24:39.453546,2005-12-31T17:23:17.338002,2005-12-31T17:24:37.453546,2005-12-31T17:23:17.538000,2293.3873008021046,2.2933873008021046,2293.3873008021046,0.001,auto,4.099517741578271,3.299999952316284,header,0.6675434143417314
20051231172159_ML3.3,TW,LCVB,HHE,180.39691162109375,3.299999952316284,4.446874970874036,2005-12-31T17:22:05.168000,2005-12-31T17:22:34.468003,header,2005-12-31T17:22:57.828004,header,2005-12-31T17:24:05.432608,2005-12-31T17:22:57.828004,2005-12-31T17:24:03.432608,2005-12-31T17:23:02.018000,10244.965704591228,10.244965704591229,-10244.965704591228,0.001,auto,4.099517741578271,3.299999952316284,header,1.1468750185577514
20051231172159_ML3.3,TW,LCVB,HHN,180.39691162109375,3.299999952316284,4.282028735679061,2005-12-31T17:22:05.168000,2005-12-31T17:22:34.468003,header,2005-12-31T17:22:57.828004,header,2005-12-31T17:24:05.432608,2005-12-31T17:22:57.828004,2005-12-31T17:24:03.432608,2005-12-31T17:23:01.778000,7009.132561380342,7.009132561380342,7009.132561380342,0.001,auto,4.099517741578271,3.299999952316284,header,0.982028783362777
20051231172159_ML3.3,TW,LCVB,HHZ,180.39691162109375,3.299999952316284,4.193616866620667,2005-12-31T17:22:05.168000,2005-12-31T17:22:34.468003,header,2005-12-31T17:22:57.828004,header,2005-12-31T17:24:05.432608,2005-12-31T17:22:57.828004,2005-12-31T17:24:03.432608,2005-12-31T17:23:01.738000,5718.108670049731,5.718108670049731,5718.108670049731,0.001,auto,4.099517741578271,3.299999952316284,header,0.8936169143043831
20051231172159_ML3.3,TW,MCVB,HHE,284.2530212402344,3.299999952316284,4.065662478589922,2005-12-31T17:22:22.897999,2005-12-31T17:23:05.938008,header,2005-12-31T17:23:38.698002,header,2005-12-31T17:25:32.400014,2005-12-31T17:23:38.698002,2005-12-31T17:25:30.400014,2005-12-31T17:23:43.047999,1636.1066854049632,1.6361066854049633,1636.1066854049632,0.001,auto,4.099517741578271,3.299999952316284,header,0.7656625262736378
20051231172159_ML3.3,TW,MCVB,HHN,284.2530212402344,3.299999952316284,4.007262693034455,2005-12-31T17:22:22.897999,2005-12-31T17:23:05.938008,header,2005-12-31T17:23:38.698002,header,2005-12-31T17:25:32.400014,2005-12-31T17:23:38.698002,2005-12-31T17:25:30.400014,2005-12-31T17:23:46.487999,1430.2495957564304,1.4302495957564305,-1430.2495957564304,0.001,auto,4.099517741578271,3.299999952316284,header,0.7072627407181704
20051231172159_ML3.3,TW,MCVB,HHZ,284.2530212402344,3.299999952316284,3.9547202208834884,2005-12-31T17:22:22.897999,2005-12-31T17:23:05.938008,header,2005-12-31T17:23:38.698002,header,2005-12-31T17:25:32.400014,2005-12-31T17:23:38.698002,2005-12-31T17:25:30.400014,2005-12-31T17:23:45.977999,1267.2706056954469,1.2672706056954468,-1267.2706056954469,0.001,auto,4.099517741578271,3.299999952316284,header,0.6547202685672042
20051231172159_ML3.3,TW,TGVB,HHE,211.58181762695312,3.299999952316284,3.930130647914885,2005-12-31T17:22:11.578000,2005-12-31T17:22:44.628003,header,2005-12-31T17:23:13.078000,header,2005-12-31T17:24:32.632545,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.268000,2280.1323227322027,2.280132322732203,-2280.1323227322027,0.001,auto,4.099517741578271,3.299999952316284,header,0.6301306955986008
20051231172159_ML3.3,TW,TGVB,HHN,211.58181762695312,3.299999952316284,3.996128267266989,2005-12-31T17:22:11.578000,2005-12-31T17:22:44.628003,header,2005-12-31T17:23:13.078000,header,2005-12-31T17:24:32.632545,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.608000,2654.346837167519,2.654346837167519,2654.346837167519,0.001,auto,4.099517741578271,3.299999952316284,header,0.6961283149507049
20051231172159_ML3.3,TW,TGVB,HHZ,211.58181762695312,3.299999952316284,4.099712464513013,2005-12-31T17:22:11.578000,2005-12-31T17:22:44.628003,header,2005-12-31T17:23:13.078000,header,2005-12-31T17:24:32.632545,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.828000,3369.3169572413613,3.3693169572413613,-3369.3169572413613,0.001,auto,4.099517741578271,3.299999952316284,header,0.799712512196729
20051231172159_ML3.3,TW,TTVB,HHE,212.33831787109375,3.299999952316284,3.839719924726036,2005-12-31T17:22:11.378000,2005-12-31T17:22:45.907999,header,2005-12-31T17:23:14.448000,header,2005-12-31T17:24:32.936878,2005-12-31T17:23:14.448000,2005-12-31T17:24:30.936878,2005-12-31T17:23:16.768000,1838.226448142027,1.8382264481420272,1838.226448142027,0.001,auto,4.099517741578271,3.299999952316284,header,0.5397199724097517
20051231172159_ML3.3,TW,TTVB,HHN,212.33831787109375,3.299999952316284,3.8378203944019376,2005-12-31T17:22:11.378000,2005-12-31T17:22:45.907999,header,2005-12-31T17:23:14.448000,header,2005-12-31T17:24:32.936878,2005-12-31T17:23:14.448000,2005-12-31T17:24:30.936878,2005-12-31T17:23:18.808000,1830.2039151621323,1.8302039151621323,-1830.2039151621323,0.001,auto,4.099517741578271,3.299999952316284,header,0.5378204420856534
