event,net,sta,comp,distance_km,header_ML_key,header_ML,ML_formula,ML_component,ML_component_minus_header,abs_ML_component_minus_header,ML_component_WA_mm_equivalent,ML_seisan_minus_WA_equivalent,origin_time,p_pick,p_label,p_source,s_pick,s_label,s_source,surface_pick,amp_window_start,amp_window_end,amp_window_sec,peak_time,peak_signed_displacement_nm,amplitude_displacement_nm,amplitude_displacement_um,amplitude_ground_displacement_mm,amplitude_WA_equivalent_mm,amplitude_unit_for_ML,remove_window_mean_for_amplitude,npts_window,derived_component,derived_from,velocity_input_to_nm_per_sec,displacement_output_unit,apply_filter_for_ml,ML_HHE_HHN_mean
20051231172159_ML3.3,TW,DBVB,HHE,249.2584686279297,mag,3.299999952316284,SEISAN_HUTTON_NM,4.011868487143167,0.7118685348268832,0.7118685348268832,4.0109318221059285,0.0009366650372388818,2005-12-31T17:22:04.699000,2005-12-31T17:22:43.279002,Pn,header,2005-12-31T17:23:11.689005,Sn,header,2005-12-31T17:24:50.871312,2005-12-31T17:23:11.689005,2005-12-31T17:24:48.871312,97.182307,2005-12-31T17:23:24.378000,-934.3047728944075,934.3047728944075,0.9343047728944075,0.0009343047728944075,1.9433539276203675,nm,True,9719,False,,1.0,nm,False,
20051231172159_ML3.3,TW,DBVB,HHN,249.2584686279297,mag,3.299999952316284,SEISAN_HUTTON_NM,3.7981114031256604,0.49811145080937624,0.49811145080937624,3.7971747380884215,0.0009366650372388818,2005-12-31T17:22:04.699000,2005-12-31T17:22:43.279002,Pn,header,2005-12-31T17:23:11.689005,Sn,header,2005-12-31T17:24:50.871312,2005-12-31T17:23:11.689005,2005-12-31T17:24:48.871312,97.182307,2005-12-31T17:23:21.688000,-571.1254107796924,571.1254107796924,0.5711254107796924,0.0005711254107796924,1.1879408544217602,nm,True,9719,False,,1.0,nm,False,
20051231172159_ML3.3,TW,DBVB,HHZ,249.2584686279297,mag,3.299999952316284,SEISAN_HUTTON_NM,3.6271334367285215,0.32713348441223733,0.32713348441223733,3.6261967716912835,0.0009366650372379937,2005-12-31T17:22:04.699000,2005-12-31T17:22:43.279002,Pn,header,2005-12-31T17:23:11.689005,Sn,header,2005-12-31T17:24:50.871312,2005-12-31T17:23:11.689005,2005-12-31T17:24:48.871312,97.182307,2005-12-31T17:23:30.648000,385.25964226284765,385.25964226284765,0.38525964226284765,0.0003852596422628476,0.8013400559067231,nm,True,9719,False,,1.0,nm,False,
20051231172159_ML3.3,TW,DBVB,HMAX,249.2584686279297,mag,3.299999952316284,SEISAN_HUTTON_NM,4.011868487143167,0.7118685348268832,0.7118685348268832,4.0109318221059285,,2005-12-31T17:22:04.699000,2005-12-31T17:22:43.279002,Pn,header,2005-12-31T17:23:11.689005,Sn,header,2005-12-31T17:24:50.871312,2005-12-31T17:23:11.689005,2005-12-31T17:24:48.871312,97.182307,,,934.3047728944075,0.9343047728944075,0.0009343047728944075,1.9433539276203675,nm,True,9719,True,HHE+HHN,1.0,nm,False,3.904989945134414
20051231172159_ML3.3,TW,DHVB,HHE,220.04331970214844,mag,3.299999952316284,SEISAN_HUTTON_NM,3.5649737467354132,0.26497379441912905,0.26497379441912905,3.564037081698174,0.0009366650372393259,2005-12-31T17:22:04.699000,2005-12-31T17:22:42.758998,Pg,header,2005-12-31T17:23:09.279002,Sg,header,2005-12-31T17:24:31.394546,2005-12-31T17:23:09.279002,2005-12-31T17:24:29.394546,80.115545,2005-12-31T17:23:15.228000,-435.4194084386297,435.4194084386297,0.43541940843862975,0.0004354194084386297,0.9056723695523498,nm,True,8013,False,,1.0,nm,False,
20051231172159_ML3.3,TW,DHVB,HHN,220.04331970214844,mag,3.299999952316284,SEISAN_HUTTON_NM,3.5301231215193916,0.23012316920310738,0.23012316920310738,3.5291864564821522,0.0009366650372393259,2005-12-31T17:22:04.699000,2005-12-31T17:22:42.758998,Pg,header,2005-12-31T17:23:09.279002,Sg,header,2005-12-31T17:24:31.394546,2005-12-31T17:23:09.279002,2005-12-31T17:24:29.394546,80.115545,2005-12-31T17:23:25.988000,-401.84369468343345,401.84369468343345,0.40184369468343345,0.0004018436946834334,0.8358348849415416,nm,True,8013,False,,1.0,nm,False,
20051231172159_ML3.3,TW,DHVB,HHZ,220.04331970214844,mag,3.299999952316284,SEISAN_HUTTON_NM,3.5878866128104656,0.28788666049418143,0.28788666049418143,3.5869499477732267,0.0009366650372388818,2005-12-31T17:22:04.699000,2005-12-31T17:22:42.758998,Pg,header,2005-12-31T17:23:09.279002,Sg,header,2005-12-31T17:24:31.394546,2005-12-31T17:23:09.279002,2005-12-31T17:24:29.394546,80.115545,2005-12-31T17:23:26.668000,459.00841709036735,459.00841709036735,0.4590084170903674,0.00045900841709036735,0.954737507547964,nm,True,8013,False,,1.0,nm,False,
20051231172159_ML3.3,TW,DHVB,HMAX,220.04331970214844,mag,3.299999952316284,SEISAN_HUTTON_NM,3.5649737467354132,0.26497379441912905,0.26497379441912905,3.564037081698174,,2005-12-31T17:22:04.699000,2005-12-31T17:22:42.758998,Pg,header,2005-12-31T17:23:09.279002,Sg,header,2005-12-31T17:24:31.394546,2005-12-31T17:23:09.279002,2005-12-31T17:24:29.394546,80.115545,,,435.4194084386297,0.43541940843862975,0.0004354194084386297,0.9056723695523498,nm,True,8013,True,HHE+HHN,1.0,nm,False,3.5475484341274024
20051231172159_ML3.3,TW,LCVB,HHE,180.39691162109375,mag,3.299999952316284,SEISAN_HUTTON_NM,3.906429282776058,0.6064293304597737,0.6064293304597737,3.9054926177388194,0.0009366650372384377,2005-12-31T17:22:04.699000,2005-12-31T17:22:33.999003,Pn,header,2005-12-31T17:22:57.359004,Sg,header,2005-12-31T17:24:04.963608,2005-12-31T17:22:57.359004,2005-12-31T17:24:02.963608,65.604604,2005-12-31T17:23:01.918000,1416.0051106857547,1416.0051106857547,1.4160051106857547,0.0014160051106857547,2.9452906302263697,nm,True,6562,False,,1.0,nm,False,
20051231172159_ML3.3,TW,LCVB,HHN,180.39691162109375,mag,3.299999952316284,SEISAN_HUTTON_NM,3.7287228379077924,0.4287228855915082,0.4287228855915082,3.7277861728705535,0.0009366650372388818,2005-12-31T17:22:04.699000,2005-12-31T17:22:33.999003,Pn,header,2005-12-31T17:22:57.359004,Sg,header,2005-12-31T17:24:04.963608,2005-12-31T17:22:57.359004,2005-12-31T17:24:02.963608,65.604604,2005-12-31T17:23:01.678000,-940.4990819452753,940.4990819452753,0.9404990819452753,0.0009404990819452752,1.9562380904461725,nm,True,6562,False,,1.0,nm,False,
