event,comp,ML_component_event_mean,ML_component_event_median,ML_component_event_std,n_station_component,header_ML_mean,distance_mean_km,distance_min_km,distance_max_km,amplitude_nm_mean,ML_component_event_std_filled0,ML_component_event_mean_minus_header
20051231172159_ML3.3,HHE,3.752151831161877,3.70156427758161,0.17764980019069596,6,3.299999952316284,226.31197611490884,180.39691162109375,284.2530212402344,729.4479626761735,0.17764980019069596,0.45215187884559294
20051231172159_ML3.3,HHN,3.6130923658709335,3.5964943738414448,0.13352897555723153,6,3.299999952316284,226.31197611490884,180.39691162109375,284.2530212402344,504.3537077524643,0.13352897555723153,0.31309241355464934
20051231172159_ML3.3,HHZ,3.567834669220043,3.5665697338376,0.07189689371253041,6,3.299999952316284,226.31197611490884,180.39691162109375,284.2530212402344,427.8778122947609,0.07189689371253041,0.2678347169037587
20051231172159_ML3.3,HMAX,3.752151831161877,3.70156427758161,0.17764980019069596,6,3.299999952316284,226.31197611490884,180.39691162109375,284.2530212402344,729.4479626761735,0.17764980019069596,0.45215187884559294
20060106182759_ML3.6,HHE,4.118866867445731,4.061562869789576,0.18589494645796623,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,4075.565633094904,0.18589494645796623,0.5188669628131626
20060106182759_ML3.6,HHN,4.343170989136141,4.308143406228391,0.21275160465526877,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,5493.159187251254,0.21275160465526877,0.7431710845035724
20060106182759_ML3.6,HHZ,4.036538480496831,3.926545221922934,0.23902899450812837,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,2680.528342685764,0.23902899450812837,0.4365385758642626
20060106182759_ML3.6,HMAX,4.343170989136141,4.308143406228391,0.21275160465526877,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,5493.159187251254,0.21275160465526877,0.7431710845035724
20060106182808,HHE,4.118866867445731,4.061562869789576,0.18589494645796623,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,4075.565633094904,0.18589494645796623,0.5188669628131626
20060106182808,HHN,4.343170989136141,4.308143406228391,0.21275160465526877,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,5493.159187251254,0.21275160465526877,0.7431710845035724
20060106182808,HHZ,4.036538480496831,3.926545221922934,0.23902899450812837,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,2680.528342685764,0.23902899450812837,0.4365385758642626
20060106182808,HMAX,4.343170989136141,4.308143406228391,0.21275160465526877,6,3.5999999046325684,176.02981440226236,74.96392059326172,289.0690612792969,5493.159187251254,0.21275160465526877,0.7431710845035724
20060112010459_ML4.8,HHE,5.812798694632608,5.823038440238719,0.1527691688854253,3,4.800000190734863,236.63660176595053,203.63694763183594,257.498779296875,71291.03180149659,0.1527691688854253,1.012798503897745
20060112010459_ML4.8,HHN,5.768880062436207,5.754810249080945,0.02801607425902475,3,4.800000190734863,236.63660176595053,203.63694763183594,257.498779296875,61340.57268077039,0.02801607425902475,0.9688798717013434
20060112010459_ML4.8,HHZ,5.424948991891825,5.417062797072415,0.026978368010209964,3,4.800000190734863,236.63660176595053,203.63694763183594,257.498779296875,27737.878860051507,0.026978368010209964,0.6249488011569619
20060112010459_ML4.8,HMAX,5.846013027798885,5.823038440238719,0.10459983147605426,3,4.800000190734863,236.63660176595053,203.63694763183594,257.498779296875,74578.40487845264,0.10459983147605426,1.0460128370640218
20060115142929_ML3.0,HHE,3.47000259840671,3.459616230751833,0.11497300271130242,4,3.0,102.99198293685913,21.472368240356445,307.1416015625,5054.253704439631,0.11497300271130242,0.47000259840671
20060115142929_ML3.0,HHN,3.3677340467493444,3.4829931017491127,0.25503188476669125,4,3.0,102.99198293685913,21.472368240356445,307.1416015625,3483.5015999726625,0.25503188476669125,0.3677340467493444
20060115142929_ML3.0,HHZ,3.1811298405412582,3.13768218602618,0.35837937160520056,4,3.0,102.99198293685913,21.472368240356445,307.1416015625,1784.5033574971017,0.35837937160520056,0.18112984054125825
20060115142929_ML3.0,HMAX,3.5044498004255527,3.4866570352461355,0.0837405261315951,4,3.0,102.99198293685913,21.472368240356445,307.1416015625,5380.142349211437,0.0837405261315951,0.5044498004255527
20060226161229_ML3.5,HHE,3.6948132586300417,3.7475167922042854,0.24901462293055288,10,3.5,173.71999473571776,40.3808708190918,298.0760803222656,3587.803374097235,0.24901462293055288,0.19481325863004173
20060226161229_ML3.5,HHN,3.766408096511726,3.8640332927614782,0.3424594332680022,10,3.5,173.71999473571776,40.3808708190918,298.0760803222656,3653.399120808791,0.3424594332680022,0.2664080965117259
20060226161229_ML3.5,HHZ,3.6108111388180233,3.598989426759553,0.2722318886095268,10,3.5,173.71999473571776,40.3808708190918,298.0760803222656,1558.5839692177217,0.2722318886095268,0.11081113881802329
20060226161229_ML3.5,HMAX,3.808374489463475,3.8765756870918464,0.28611554847136134,10,3.5,173.71999473571776,40.3808708190918,298.0760803222656,4006.3579361596226,0.28611554847136134,0.3083744894634748
20060316162059_ML3.2,HHE,3.346979257305543,3.308330862527189,0.2588904087987465,8,3.200000047683716,189.27534103393555,116.62581634521484,260.1788024902344,404.98175162041355,0.2588904087987465,0.14697920962182698
20060316162059_ML3.2,HHN,3.305413967993963,3.3537505891198327,0.2757875421409486,8,3.200000047683716,189.27534103393555,116.62581634521484,260.1788024902344,394.86352566085856,0.2757875421409486,0.1054139203102471
20060316162059_ML3.2,HHZ,3.1512423177480526,3.2160108189567254,0.25655712306098327,8,3.200000047683716,189.27534103393555,116.62581634521484,260.1788024902344,275.9970468962528,0.25655712306098327,-0.048757729935663185
20060316162059_ML3.2,HMAX,3.3711624372511895,3.3537505891198327,0.25691926325869535,8,3.200000047683716,189.27534103393555,116.62581634521484,260.1788024902344,435.9296683431739,0.25691926325869535,0.17116238956747365
20060403170559_ML3.8,HHE,4.062995032569597,4.062591827107617,0.2431149043055228,6,3.799999952316284,210.7468007405599,168.84536743164062,254.56124877929688,1610.705757468964,0.2431149043055228,0.26299508025331253
20060403170559_ML3.8,HHN,4.110723817306675,4.150539895587901,0.2209806312377579,6,3.799999952316284,210.7468007405599,168.84536743164062,254.56124877929688,1860.9414809313955,0.2209806312377579,0.31072386499039073
20060403170559_ML3.8,HHZ,3.9201114014179517,4.005839996985943,0.1959238122247305,6,3.799999952316284,210.7468007405599,168.84536743164062,254.56124877929688,1210.2170448554723,0.1959238122247305,0.12011144910166749
20060403170559_ML3.8,HMAX,4.120798078562718,4.176823455541523,0.22232983466869155,6,3.799999952316284,210.7468007405599,168.84536743164062,254.56124877929688,1894.7592569292035,0.22232983466869155,0.32079812624643367
20060516142759_ML2.5,HHE,3.709726501984258,3.8066573185965753,0.2826185187916835,3,3.4000000953674316,242.05821736653647,150.91827392578125,287.82720947265625,526.5748252087272,0.2826185187916835,0.3097264066168264
20060516142759_ML2.5,HHN,3.8039173107459754,3.867763723712603,0.2599591241285342,3,3.4000000953674316,242.05821736653647,150.91827392578125,287.82720947265625,661.1413060079931,0.2599591241285342,0.40391721537854375
20060516142759_ML2.5,HHZ,3.8848239621088125,3.8846588478340145,0.0233553905641538,3,3.4000000953674316,242.05821736653647,150.91827392578125,287.82720947265625,983.6632764352466,0.0233553905641538,0.4848238667413809
20060516142759_ML2.5,HMAX,3.825037743476221,3.9311250219033385,0.2701154491401786,3,3.4000000953674316,242.05821736653647,150.91827392578125,287.82720947265625,686.441170738159,0.2701154491401786,0.4250376481087894
20061111184259_ML3.8,HHE,4.47028852032624,4.641425899892454,0.4857624005271661,6,3.7166666189829507,253.40064239501953,211.1722869873047,288.12274169921875,3903.2716718151773,0.4857624005271661,0.7536219013432892
20061111184259_ML3.8,HHN,4.351665397166939,4.51875582210241,0.43293214000921637,6,3.7166666189829507,253.40064239501953,211.1722869873047,288.12274169921875,2619.8498257107863,0.43293214000921637,0.6349987781839883
20061111184259_ML3.8,HHZ,4.373983292190208,4.53304339982032,0.43867661309842776,6,3.7166666189829507,253.40064239501953,211.1722869873047,288.12274169921875,2916.164408734187,0.43867661309842776,0.6573166732072573
20061111184259_ML3.8,HMAX,4.490689579939222,4.641425899892454,0.4828066878446335,6,3.7166666189829507,253.40064239501953,211.1722869873047,288.12274169921875,3984.6748852882306,0.4828066878446335,0.774022960956271
20061111184559,HHE,4.591521004622451,4.641425899892454,0.23267647138613204,6,3.799999952316284,235.54532623291016,150.56674194335938,288.12274169921875,4612.221440687299,0.23267647138613204,0.7915210523061669
20061111184559,HHN,4.461444883792449,4.51875582210241,0.19531461025388067,6,3.799999952316284,235.54532623291016,150.56674194335938,288.12274169921875,3175.8161617329647,0.19531461025388067,0.661444931476165
20061111184559,HHZ,4.574481955558866,4.5693288629170485,0.08694743912226179,6,3.799999952316284,235.54532623291016,150.56674194335938,288.12274169921875,4875.089125659234,0.08694743912226179,0.7744820032425821
20061111184559,HMAX,4.611922064235432,4.641425899892454,0.21293115710087054,6,3.799999952316284,235.54532623291016,150.56674194335938,288.12274169921875,4693.624654160352,0.21293115710087054,0.8119221119191478
20061123174859_ML3.0,HHE,2.386773555826121,3.02645353400647,1.8041787910628118,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,182.82678895373607,1.8041787910628118,-0.6132264441738791
20061123174859_ML3.0,HHN,2.5480467994900677,3.1255021810329753,1.53720168497537,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,208.430989085334,1.53720168497537,-0.45195320050993226
20061123174859_ML3.0,HHZ,2.3626909715581914,3.0513880727785363,1.9503498440948792,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,176.08136395406532,1.9503498440948792,-0.6373090284418086
20061123174859_ML3.0,HMAX,2.5677354882926084,3.1255021810329753,1.5445838518416104,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,220.25881160533578,1.5445838518416104,-0.43226451170739155
20061123175055,HHE,2.386773555826121,3.02645353400647,1.8041787910628118,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,182.82678895373607,1.8041787910628118,-0.6132264441738791
20061123175055,HHN,2.5480467994900677,3.1255021810329753,1.53720168497537,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,208.430989085334,1.53720168497537,-0.45195320050993226
20061123175055,HHZ,2.3626909715581914,3.0513880727785363,1.9503498440948792,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,176.08136395406532,1.9503498440948792,-0.6373090284418086
20061123175055,HMAX,2.5677354882926084,3.1255021810329753,1.5445838518416104,7,3.0,204.37156459263392,110.01609802246094,268.870849609375,220.25881160533578,1.5445838518416104,-0.43226451170739155
20061124120359_ML3.5,HHE,4.058174907113834,4.291575055470161,0.938983522383371,16,3.5,197.2029685974121,84.1434097290039,293.8222961425781,3174.977784644513,0.938983522383371,0.558174907113834
20061124120359_ML3.5,HHN,4.010419166023181,4.064635528796098,0.9603311827950907,16,3.5,197.2029685974121,84.1434097290039,293.8222961425781,2839.2076710429346,0.9603311827950907,0.5104191660231807
20061124120359_ML3.5,HHZ,3.910747987831323,4.110890102196483,1.0500480060680422,16,3.5,197.2029685974121,84.1434097290039,293.8222961425781,2353.049267426747,1.0500480060680422,0.41074798783132316
20061124120359_ML3.5,HMAX,4.126009253147373,4.315570607538894,0.9494747727097621,16,3.5,197.2029685974121,84.1434097290039,293.8222961425781,3697.224238383577,0.9494747727097621,0.6260092531473731
20070401185859_ML3.0,HHE,3.45789962532205,3.351188266783334,0.2728678302463031,6,3.0,217.01627095540366,150.52615356445312,275.3470764160156,388.93188040678416,0.2728678302463031,0.45789962532205
20070401185859_ML3.0,HHN,3.390261195548908,3.3803339193592885,0.20384955126351365,6,3.0,217.01627095540366,150.52615356445312,275.3470764160156,325.25217722817416,0.20384955126351365,0.3902611955489079
20070401185859_ML3.0,HHZ,3.2937086000228137,3.343774594195265,0.21725666866152651,6,3.0,217.01627095540366,150.52615356445312,275.3470764160156,248.7319045781082,0.21725666866152651,0.29370860002281374
20070401185859_ML3.0,HMAX,3.4848803486192144,3.396874473403821,0.25710952775280144,6,3.0,217.01627095540366,150.52615356445312,275.3470764160156,407.1785720945333,0.25710952775280144,0.48488034861921436
20070502033029_ML-nan,HHE,4.6113684125682095,4.95247105497098,1.3035599445589885,10,4.400000095367432,192.03091125488282,100.422607421875,296.19793701171875,17864.61312523936,1.3035599445589885,0.21136831720077787
20070502033029_ML-nan,HHN,4.663898646858185,4.887708206917015,1.2419235113711822,10,4.400000095367432,192.03091125488282,100.422607421875,296.19793701171875,19845.249994494556,1.2419235113711822,0.2638985514907537
20070502033029_ML-nan,HHZ,4.597247139188831,4.947673681759683,1.3709815652276207,10,4.400000095367432,192.03091125488282,100.422607421875,296.19793701171875,18216.224588323897,1.3709815652276207,0.1972470438213998
20070502033029_ML-nan,HMAX,4.712478500297404,4.965299129681172,1.2467904329554114,10,4.400000095367432,192.03091125488282,100.422607421875,296.19793701171875,21267.021382952782,1.2467904329554114,0.3124784049299727
20070502035959_ML3.5,HHE,3.7566064267039745,4.1232839486692034,1.3527376488279559,13,3.5,193.99987969031702,70.56570434570312,299.77008056640625,2959.022291098516,1.3527376488279559,0.2566064267039745
20070502035959_ML3.5,HHN,3.760635306791401,4.1129769860681265,1.383338508445102,13,3.5,193.99987969031702,70.56570434570312,299.77008056640625,2902.600394841259,1.383338508445102,0.2606353067914009
20070502035959_ML3.5,HHZ,3.744628666698196,3.969117429420683,1.1051303907517618,13,3.5,193.99987969031702,70.56570434570312,299.77008056640625,2147.62719359434,1.1051303907517618,0.24462866669819583
20070502035959_ML3.5,HMAX,3.829092395878274,4.2307723207290096,1.3798711230939664,13,3.5,193.99987969031702,70.56570434570312,299.77008056640625,3322.6183271759073,1.3798711230939664,0.3290923958782739
20070502182759_ML3.1,HHE,3.01624096333035,3.4101193978699733,1.5731088937310422,11,3.0999999046325684,177.52001953125,71.9040298461914,294.73406982421875,817.4221774256133,1.5731088937310422,-0.08375894130221839
20070502182759_ML3.1,HHN,3.000665940359181,3.4033998514580794,1.5565456809439058,11,3.0999999046325684,177.52001953125,71.9040298461914,294.73406982421875,710.7264710993409,1.5565456809439058,-0.09933396427338748
20070502182759_ML3.1,HHZ,2.9302664994393592,3.297260100649817,1.6016725444514137,11,3.0999999046325684,177.52001953125,71.9040298461914,294.73406982421875,623.9424042823002,1.6016725444514137,-0.16973340519320912
20070502182759_ML3.1,HMAX,3.0672542219923926,3.4337632620299825,1.570581053526699,11,3.0999999046325684,177.52001953125,71.9040298461914,294.73406982421875,875.2614938835989,1.570581053526699,-0.032745682640175744
20070531154359_ML3.3,HHE,2.7907133796742665,3.2883474122949714,1.6361483943847994,9,3.299999952316284,182.09943389892578,78.32970428466797,280.6042175292969,666.2065411429057,1.6361483943847994,-0.5092865726420177
20070531154359_ML3.3,HHN,2.747201529999076,3.2622008469081525,1.6493050974771246,9,3.299999952316284,182.09943389892578,78.32970428466797,280.6042175292969,507.4169300212433,1.6493050974771246,-0.552798422317208
20070531154359_ML3.3,HHZ,2.799552856320377,3.2343757539382274,1.3809643645034255,9,3.299999952316284,182.09943389892578,78.32970428466797,280.6042175292969,433.8521499930777,1.3809643645034255,-0.5004470959959071
20070531154359_ML3.3,HMAX,2.8248861911400978,3.3423401368708854,1.6465670006369584,9,3.299999952316284,182.09943389892578,78.32970428466797,280.6042175292969,682.4950487675154,1.6465670006369584,-0.4751137611761864
20070607052959_ML3.3,HHE,2.940773531329989,3.3978977154016743,1.705963807011258,10,3.299999952316284,161.83542518615724,49.49027633666992,297.4626159667969,950.499390209245,1.705963807011258,-0.3592264209862952
20070607052959_ML3.3,HHN,2.9944988855251458,3.471449508444732,1.660074061088124,10,3.299999952316284,161.83542518615724,49.49027633666992,297.4626159667969,938.5986694142308,1.660074061088124,-0.3055010667911384
20070607052959_ML3.3,HHZ,2.988982875620096,3.357054837775366,1.1257763397440532,10,3.299999952316284,161.83542518615724,49.49027633666992,297.4626159667969,658.5889488498105,1.1257763397440532,-0.31101707669618817
20070607052959_ML3.3,HMAX,3.0459093069578245,3.534833867692182,1.6778833826725834,10,3.299999952316284,161.83542518615724,49.49027633666992,297.4626159667969,1085.3872098191357,1.6778833826725834,-0.2540906453584597
20070609121639_ML4.1,HHE,4.564522442280212,5.036241763595014,1.4621426791700003,9,4.099999904632568,232.6447550455729,148.80126953125,290.2500915527344,20022.94907713254,1.4621426791700003,0.4645225376476434
20070609121639_ML4.1,HHN,4.41552938709685,4.756731591056218,1.2668932293642912,9,4.099999904632568,232.6447550455729,148.80126953125,290.2500915527344,8693.193663965272,1.2668932293642912,0.3155294824642816
20070609121639_ML4.1,HHZ,4.361150630172216,4.687064012947097,1.2251299900341532,9,4.099999904632568,232.6447550455729,148.80126953125,290.2500915527344,9503.05896774585,1.2251299900341532,0.2611507255396477
20070609121639_ML4.1,HMAX,4.633092157798422,5.036241763595014,1.3561731333722191,9,4.099999904632568,232.6447550455729,148.80126953125,290.2500915527344,20409.485805373955,1.3561731333722191,0.5330922531658535
20070721084559_ML3.0,HHE,2.9834899497071543,3.326889364668699,1.3213592051921195,12,3.0,136.11575524012247,18.786535263061523,264.0710144042969,1315.6910375991345,1.3213592051921195,-0.01651005029284569
20070721084559_ML3.0,HHN,3.047214912381806,3.302169609635228,1.0738306210578454,12,3.0,136.11575524012247,18.786535263061523,264.0710144042969,1268.717742832693,1.0738306210578454,0.047214912381805973
20070721084559_ML3.0,HHZ,2.9088934385495553,3.292079503868472,1.134455130157626,12,3.0,136.11575524012247,18.786535263061523,264.0710144042969,796.0335131069629,1.134455130157626,-0.09110656145044471
20070721084559_ML3.0,HMAX,3.101379512921443,3.3466972619089477,1.086545622370584,12,3.0,136.11575524012247,18.786535263061523,264.0710144042969,1489.972559025142,1.086545622370584,0.1013795129214432
20070906185059_ML4.2,HHE,4.630834590492579,4.916701054735065,0.920594014214428,15,4.173333152135213,226.06425018310546,77.45543670654297,299.2337341308594,9024.040194762398,0.920594014214428,0.4575014383573661
20070906185059_ML4.2,HHN,4.504877931047067,4.824323595064165,0.9683225074084665,15,4.173333152135213,226.06425018310546,77.45543670654297,299.2337341308594,7448.3634435229915,0.9683225074084665,0.3315447789118533
20070906185059_ML4.2,HHZ,4.514622780270844,4.800257593352072,1.0198430836035184,15,4.173333152135213,226.06425018310546,77.45543670654297,299.2337341308594,7878.930739191728,1.0198430836035184,0.34128962813563035
20070906185059_ML4.2,HMAX,4.644353407270609,4.916701054735065,0.919199419009785,15,4.173333152135213,226.06425018310546,77.45543670654297,299.2337341308594,9445.108658810794,0.919199419009785,0.4710202551353957
20070906185146,HHE,4.658236002951291,4.930010216041685,0.9489764077115393,14,4.199999809265137,223.73152651105607,77.45543670654297,299.2337341308594,9562.96784233506,0.9489764077115393,0.45823619368615454
20070906185146,HHN,4.543741465643373,4.827369128504163,0.992661538471065,14,4.199999809265137,223.73152651105607,77.45543670654297,299.2337341308594,7925.759634107385,0.992661538471065,0.34374165637823584
20070906185146,HHZ,4.561075808751781,4.8385860719772955,1.041742741123089,14,4.199999809265137,223.73152651105607,77.45543670654297,299.2337341308594,8397.967223102138,1.041742741123089,0.36107599948664415
20070906185146,HMAX,4.67272044949918,4.930010216041685,0.9470602815231615,14,4.199999809265137,223.73152651105607,77.45543670654297,299.2337341308594,10014.112625244055,0.9470602815231615,0.47272064023404337
20080110223559_ML2.3,HHE,3.074137976588513,3.4809489057464216,0.7518314391530895,7,2.8714284896850586,140.21710532052177,43.69486999511719,260.5063781738281,609.3919863525005,0.7518314391530895,0.20270948690345447
20080110223559_ML2.3,HHN,3.1141304433929125,3.346129195188725,0.6876039065164549,7,2.8714284896850586,140.21710532052177,43.69486999511719,260.5063781738281,590.5828800438705,0.6876039065164549,0.24270195370785386
20080110223559_ML2.3,HHZ,3.0287459513050017,3.3584474578899037,0.7246108342118769,7,2.8714284896850586,140.21710532052177,43.69486999511719,260.5063781738281,507.94818662091285,0.7246108342118769,0.1573174616199431
20080110223559_ML2.3,HMAX,3.1604360568507173,3.598610852765839,0.7171845604550628,7,2.8714284896850586,140.21710532052177,43.69486999511719,260.5063781738281,676.0469141334806,0.7171845604550628,0.2890075671656587
20080210024059_ML3.1,HHE,3.546413759450856,3.463354317238356,0.21576534861569385,6,3.0999999046325684,165.42032750447592,52.030479431152344,253.78538513183594,1292.86295642487,0.21576534861569385,0.44641385481828744
20080210024059_ML3.1,HHN,3.494777225631729,3.499329133560881,0.14162251795321412,6,3.0999999046325684,165.42032750447592,52.030479431152344,253.78538513183594,966.7160324125877,0.14162251795321412,0.3947773209991605
20080210024059_ML3.1,HHZ,3.444531239069132,3.438052407563874,0.1669157398761249,6,3.0999999046325684,165.42032750447592,52.030479431152344,253.78538513183594,892.6075609778413,0.1669157398761249,0.3445313344365637
20080210024059_ML3.1,HMAX,3.59554009685677,3.548724609531473,0.18354059364043251,6,3.0999999046325684,165.42032750447592,52.030479431152344,253.78538513183594,1342.1187405434168,0.18354059364043251,0.49554019222420154
20080225230059_ML3.0,HHE,3.5043863809702245,3.596148369987586,0.24627782844971316,9,3.0,169.84070926242404,69.47908020019531,267.0560302734375,731.6771377984086,0.24627782844971316,0.5043863809702245
20080225230059_ML3.0,HHN,3.4902885282001077,3.6066253430510713,0.3113761505674767,9,3.0,169.84070926242404,69.47908020019531,267.0560302734375,681.8588477935119,0.3113761505674767,0.4902885282001077
20080225230059_ML3.0,HHZ,3.5683699600465655,3.5125705399213505,0.3125414109039252,9,3.0,169.84070926242404,69.47908020019531,267.0560302734375,826.5727822983162,0.3125414109039252,0.5683699600465655
