event,net,sta,comp,distance_km,header_ML,ML_station_mean,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,p_pick,p_label,p_source,p_source_component,disp_unit,vel_unit,remove_preP_mean_for_Pd,taup_smoothing_tau_sec,preP_noise_window_start,preP_noise_window_end,preP_noise_window_sec,preP_noise_npts_disp,preP_noise_npts_vel,preP_disp_mean_nm,preP_vel_mean_nmps,preP_noise_absmax_nm,preP_noise_rms_nm,Pd_2s_nm,Pd_2s_um,Pd_2s_ground_mm,Pd_peak_time_2s,tau_c_2s_sec,tau_p_max_2s_sec,tau_p_end_2s_sec,snr_absmax_2s,snr_rms_2s,npts_2s,Pd_3s_nm,Pd_3s_um,Pd_3s_ground_mm,Pd_peak_time_3s,tau_c_3s_sec,tau_p_max_3s_sec,tau_p_end_3s_sec,snr_absmax_3s,snr_rms_3s,npts_3s,Pd_5s_nm,Pd_5s_um,Pd_5s_ground_mm,Pd_peak_time_5s,tau_c_5s_sec,tau_p_max_5s_sec,tau_p_end_5s_sec,snr_absmax_5s,snr_rms_5s,npts_5s
20051231172159_ML3.3,TW,DBVB,HHZ,249.2584686279297,3.299999952316284,3.904989945134414,3.904989945134414,0.1511490836354417,3.6271334367285215,-0.2778565084058924,0.6049899928181297,2005-12-31T17:22:43.279002,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:33.279002,2005-12-31T17:22:42.779002,9.5,951,951,-52.00388703405168,0.9639820185275484,118.73235688268448,53.50850888517638,80.4246996408632,0.0804246996408632,8.042469964086319e-05,2005-12-31T17:22:44.608000,4.98751585761914,8.198702731925652,4.968079546564537,0.6773612665697202,1.5030263656467444,201,80.4246996408632,0.0804246996408632,8.042469964086319e-05,2005-12-31T17:22:44.608000,4.746855617393708,8.198702731925652,4.641150409332833,0.6773612665697202,1.5030263656467444,301,81.29791245519425,0.08129791245519426,8.129791245519425e-05,2005-12-31T17:22:48.278000,2.311291278922849,8.198702731925652,1.5346379730262854,0.6847157303170696,1.519345505023341,501
20051231172159_ML3.3,TW,DHVB,HHZ,220.04331970214844,3.299999952316284,3.5475484341274024,3.5475484341274024,0.0246431134188398,3.5878866128104656,0.0403381786830632,0.2475484818111182,2005-12-31T17:22:42.758998,Pg,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:32.758998,2005-12-31T17:22:42.258998,9.5,951,951,2.8326834260978657,-9.23002542572568,144.3863259733162,63.60708341668306,89.8626211702385,0.0898626211702385,8.98626211702385e-05,2005-12-31T17:22:43.838000,1.1070589550635415,1.9106094306765113,1.0587125282168668,0.622376257339257,1.4127769478370558,201,89.8626211702385,0.0898626211702385,8.98626211702385e-05,2005-12-31T17:22:43.838000,0.8976240744817864,1.9106094306765113,0.6490161659088994,0.622376257339257,1.4127769478370558,301,89.8626211702385,0.0898626211702385,8.98626211702385e-05,2005-12-31T17:22:43.838000,0.7511331827792723,1.9106094306765113,0.6587950246668052,0.622376257339257,1.4127769478370558,501
20051231172159_ML3.3,TW,LCVB,HHZ,180.39691162109375,3.299999952316284,3.817576060341925,3.817576060341925,0.1256574322269038,3.545252854864734,-0.2723232054771909,0.5175761080256409,2005-12-31T17:22:33.999003,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:23.999003,2005-12-31T17:22:33.499003,9.5,951,951,-6.234327894444533,-11.347010478659383,129.24108753799922,62.912208231852034,120.61000956893437,0.12061000956893438,0.00012061000956893436,2005-12-31T17:22:35.598000,0.7406687646257598,5.045914601906163,0.6762621895277406,0.9332172288744696,1.9171161362584366,201,181.98085154891484,0.18198085154891486,0.00018198085154891484,2005-12-31T17:22:36.798000,0.617554560927928,5.045914601906163,0.507578738758988,1.4080727345737414,2.892615863653299,301,181.98085154891484,0.18198085154891486,0.00018198085154891484,2005-12-31T17:22:36.798000,0.5813141687734208,5.045914601906163,0.528858308517493,1.4080727345737414,2.892615863653299,501
20051231172159_ML3.3,TW,MCVB,HHZ,284.2530212402344,3.299999952316284,3.615748339255209,3.615748339255209,0.0183887282284281,3.661769285322425,0.0460209460672156,0.315748386938925,2005-12-31T17:22:47.739009,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:37.739009,2005-12-31T17:22:47.239009,9.5,951,951,9.366995045227771,14.601705683048102,114.4788190808723,56.214634100147435,139.25450725225903,0.13925450725225905,0.00013925450725225903,2005-12-31T17:22:49.737999,2.939280749935982,8.957035730232624,2.8133629691241224,1.2164215910882539,2.477193162979136,201,153.3933164563606,0.1533933164563606,0.0001533933164563606,2005-12-31T17:22:49.957999,4.117926935943732,8.957035730232624,4.939167300447143,1.3399274877914105,2.728707905188665,301,153.3933164563606,0.1533933164563606,0.0001533933164563606,2005-12-31T17:22:49.957999,3.986251329670433,8.957035730232624,4.575793448942936,1.3399274877914105,2.728707905188665,501
20051231172159_ML3.3,TW,TGVB,HHZ,211.58181762695312,3.299999952316284,3.6823103121678455,3.6823103121678455,0.1302025546381491,3.4676035285217317,-0.2147067836461138,0.3823103598515613,2005-12-31T17:22:37.749003,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:27.749003,2005-12-31T17:22:37.249003,9.5,951,951,-1.0511947259792644,-7.567109927229513,63.187371788967546,32.24011828767623,54.4626899347195,0.0544626899347195,5.44626899347195e-05,2005-12-31T17:22:39.748000,3.1023881598535312,4.002127447701111,3.8474392373850583,0.8619236469687861,1.689283192100999,201,119.12562709902613,0.11912562709902613,0.00011912562709902613,2005-12-31T17:22:40.748000,5.51786187556856,7.161740221444316,7.161740221444316,1.8852758664639593,3.694950063026346,301,119.18977504824488,0.11918977504824489,0.00011918977504824488,2005-12-31T17:22:40.968000,3.3583289065504323,9.406314651181853,1.8766205674205152,1.8862910685114982,3.696939756384365,501
20051231172159_ML3.3,TW,TTVB,HHZ,212.33831787109375,3.299999952316284,3.5275595000716367,3.5275595000716367,0.1399384332246492,3.5173622970723795,-0.0101972029992571,0.2275595477553524,2005-12-31T17:22:39.228999,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:29.228999,2005-12-31T17:22:38.728999,9.5,951,951,-2.536504034364261,9.344084641033417,249.78816724237208,141.06779222395096,139.84921765741115,0.13984921765741115,0.00013984921765741113,2005-12-31T17:22:39.898000,3.9196843216889525,5.920461120706816,3.304305826808165,0.5598712669272039,0.9913617804083495,201,139.84921765741115,0.13984921765741115,0.00013984921765741113,2005-12-31T17:22:39.898000,3.1019268657965258,5.920461120706816,2.093917786519404,0.5598712669272039,0.9913617804083495,301,162.04912828985448,0.1620491282898545,0.00016204912828985448,2005-12-31T17:22:42.668000,1.862047643818755,5.920461120706816,1.3374130298026632,0.6487462159591271,1.1487322920074823,501
20060106182759_ML3.6,TW,DBVB,HHZ,97.6240234375,3.5999999046325684,4.307555667603053,4.307555667603053,0.0037051736988601,3.9115100896485497,-0.3960455779545029,0.7075557629704843,2006-01-06T18:28:25.459998,Pg,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:15.459998,2006-01-06T18:28:24.959998,9.5,951,951,54.17978854143657,3.716132951901832,127.66340060198345,63.19317792532113,1435.1210727211242,1.435121072721124,0.0014351210727211242,2006-01-06T18:28:27.108000,0.6016620509031628,8.353922601823081,0.5587989663245931,11.24144481467641,22.71006333020767,201,1435.1210727211242,1.435121072721124,0.0014351210727211242,2006-01-06T18:28:27.108000,0.5959779601803807,8.353922601823081,0.5813393685810035,11.24144481467641,22.71006333020767,301,1435.1210727211242,1.435121072721124,0.0014351210727211242,2006-01-06T18:28:27.108000,0.5800802215174038,8.353922601823081,0.5407293439524543,11.24144481467641,22.71006333020767,501
20060106182759_ML3.6,TW,LCVB,HHZ,74.96392059326172,3.5999999046325684,3.9893439738446737,3.9893439738446737,0.0294680033907212,3.787375392318568,-0.2019685815261058,0.3893440692121053,2006-01-06T18:28:21.690001,Pg,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:11.690001,2006-01-06T18:28:21.190001,9.5,951,951,-45.08023774875602,-6.531211564037263,130.0055319045643,72.96331449401882,1932.311194780006,1.932311194780006,0.0019323111947800059,2006-01-06T18:28:23.328000,0.7857821375593901,1.238841455127225,0.7747979002810582,14.863299787877454,26.483325328352613,201,1932.311194780006,1.932311194780006,0.0019323111947800059,2006-01-06T18:28:23.328000,0.7099605231515275,1.238841455127225,0.6106989757628355,14.863299787877454,26.483325328352613,301,1932.311194780006,1.932311194780006,0.0019323111947800059,2006-01-06T18:28:23.328000,0.672147205871703,1.238841455127225,0.5436372076551478,14.863299787877454,26.483325328352613,501
20060106182759_ML3.6,TW,MCVB,HHZ,266.3656921386719,3.5999999046325684,4.4638783266212885,4.4638783266212885,0.1251987954123236,4.3929796270584225,-0.0708986995628659,0.8638784219887201,2006-01-06T18:28:49.330000,Pn,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:39.330000,2006-01-06T18:28:48.830000,9.5,951,951,7.640523708723906,22.193281379172856,218.10417727317704,100.85063325798389,162.7936346164714,0.1627936346164714,0.00016279363461647138,2006-01-06T18:28:51.298000,3.6877643885560683,4.722613931663935,4.722613931663935,0.7464031026447109,1.6142053783641837,201,162.7936346164714,0.1627936346164714,0.00016279363461647138,2006-01-06T18:28:51.298000,3.0661510050620104,5.28583594020036,2.7050664524677366,0.7464031026447109,1.6142053783641837,301,208.16419009055986,0.20816419009055986,0.00020816419009055985,2006-01-06T18:28:53.398000,3.567753848332437,5.28583594020036,4.1852177510588,0.954425507540063,2.0640841149510623,501
20060106182759_ML3.6,TW,TGVB,HHZ,115.4921417236328,3.5999999046325684,4.133247214871902,4.133247214871902,0.2093966640088369,3.93638960001018,-0.196857614861722,0.533247310239334,2006-01-06T18:28:28.120001,Pn,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:18.120001,2006-01-06T18:28:27.620001,9.5,951,951,-0.5278310687540708,4.7262801622774075,107.13103388857829,50.64233291601232,310.70611668515215,0.31070611668515213,0.00031070611668515216,2006-01-06T18:28:30.118000,0.5001618070762498,6.682278762249099,0.35309468083815676,2.9002437987138467,6.135304177247168,201,557.0106210796835,0.5570106210796835,0.0005570106210796835,2006-01-06T18:28:31.118000,0.5412921717626199,6.682278762249099,0.5207477910572061,5.199339545803346,10.99891314255717,301,557.0106210796835,0.5570106210796835,0.0005570106210796835,2006-01-06T18:28:31.118000,0.4754487516271918,6.682278762249099,0.3905784232819903,5.199339545803346,10.99891314255717,501
