event,header_ML_mean,ML_ref_mean,ML_ref_median,ML_ref_std,n_station,distance_km_min,distance_km_max,distance_km_mean,Pd_3s_cm_mean,Pd_3s_cm_median,Pd_3s_cm_std,Pd_peak_t_rel_3s_sec_mean,Pd_peak_t_rel_3s_sec_median,Pd_peak_t_rel_3s_sec_std,Mpd_Wu_3s_mean,Mpd_Wu_3s_median,Mpd_Wu_3s_std,Mpd_Wu_3s_minus_header_ML_mean,Mpd_Wu_3s_minus_header_ML_median,Mpd_Wu_3s_minus_header_ML_std,header_ML_minus_Mpd_Wu_3s_mean,header_ML_minus_Mpd_Wu_3s_median,header_ML_minus_Mpd_Wu_3s_std,tau_c_3s_sec_mean,tau_c_3s_sec_median,tau_c_3s_sec_std,tau_p_max_3s_sec_mean,tau_p_max_3s_sec_median,tau_p_max_3s_sec_std,tau_p_end_3s_sec_mean,tau_p_end_3s_sec_median,tau_p_end_3s_sec_std,snr_absmax_3s_mean,snr_absmax_3s_median,snr_absmax_3s_std,snr_rms_3s_mean,snr_rms_3s_median,snr_rms_3s_std
20051231172159_ML3.3,3.299999952316284,3.6826220985164055,3.6490293257115276,0.15127559760800957,6,180.39691162109375,284.2530212402344,226.31197611490884,0.00012178711661382379,0.00011660198753580342,6.14859937198808e-05,1.6933333333333334,1.665,0.8695899416774936,3.739337337409486,3.7497194903070525,0.3076215534548749,0.4393373850932017,0.44971953799076836,0.3076215534548749,-0.4393373850932017,-0.44971953799076836,0.3076215534548749,3.3307737471367207,2.972615724690746,2.6940248322799345,8.395326980594731,7.4871490618921115,3.6172738942468814,3.2855461671702098,2.140147247054545,3.578611205085355,1.1348326927624044,1.1703278321109276,0.6449664451831654,2.1048324844708626,2.218575358311851,1.0930133308441934
20060106182759_ML3.6,3.5999999046325684,4.2035444950019825,4.133247214871902,0.1842492704092814,5,74.96392059326172,266.3656921386719,153.42196502685547,0.0008294786768028506,0.0005989233473212827,0.0007529771482166016,1.1280000000000001,1.03,1.0568916689992405,4.2776333464137135,4.213562209683934,0.2600624874332876,0.6776334417811449,0.6135623050513654,0.2600624874332874,-0.6776334417811449,-0.6135623050513654,0.2600624874332874,1.4134874154931312,0.6701575361096126,1.1702403185520402,21.416947564964065,8.522266686440503,29.174791118158456,1.3005652345475944,0.5766067488491545,1.0716232500140004,5.802427846451613,4.934830656211829,5.320583139434374,13.36559418362657,12.01943224830539,11.596769401107796
20060106182808,3.5999999046325684,4.2035444950019825,4.133247214871902,0.1842492704092814,5,74.96392059326172,266.3656921386719,153.42196502685547,0.0008294786768028506,0.0005989233473212827,0.0007529771482166016,1.1280000000000001,1.03,1.0568916689992405,4.2776333464137135,4.213562209683934,0.2600624874332876,0.6776334417811449,0.6135623050513654,0.2600624874332874,-0.6776334417811449,-0.6135623050513654,0.2600624874332874,1.4134874154931312,0.6701575361096126,1.1702403185520402,21.416947564964065,8.522266686440503,29.174791118158456,1.3005652345475944,0.5766067488491545,1.0716232500140004,5.802427846451613,4.934830656211829,5.320583139434374,13.36559418362657,12.01943224830539,11.596769401107796
20060112010459_ML4.8,4.800000190734863,5.7908393785344074,5.786862915782787,0.0879063400431014,3,203.6369476318359,257.498779296875,236.63660176595053,0.0010454431234481084,0.0006637079634975985,0.0008057719837074019,2.2433333333333336,2.62,0.9997166265164009,5.0174677725353884,4.902231558382485,0.32714298778050943,0.21746758180052517,0.10223136764762142,0.3271429877805093,-0.21746758180052517,-0.10223136764762142,0.3271429877805093,4.4814532558230615,3.617714704466356,1.6625584593524183,14.840673790233057,17.208901334098165,6.22186673019862,4.594384401732953,4.323728863011309,2.1600884945634924,4.951839317627545,5.46580288867947,2.2512889288846205,14.82894589887463,10.822315388401726,11.45212427138303
20060115142929_ML3.0,3.0,3.489298878210065,3.5045145668194952,0.08284067195136371,3,35.64474868774414,307.1416015625,130.16518783569336,0.0004316866545970212,0.0005411450405628099,0.0003118601907047711,0.48,0.55,0.2137755832643195,3.522145872886892,3.430181104914041,0.2581655220545227,0.5221458728868923,0.43018110491404116,0.25816552205452276,-0.5221458728868923,-0.43018110491404116,0.25816552205452276,1.4539331606327348,0.15100118965546502,2.3107090663678136,12.752213276722626,4.795931432305361,17.830074355582397,1.6451946092080654,0.131168407184948,2.649700159772585,2.8625628496982025,2.0760333388716474,2.351723965191429,5.689263836612919,4.4115047077797565,4.5346142792096105
20060226161229_ML3.5,3.5,3.7306106775708834,3.831620008821695,0.2836000597607078,10,40.3808708190918,298.0760803222656,173.71999473571776,0.000296244094288576,0.00018454043285968063,0.00027811144418846676,1.274,0.84,1.302904447762767,3.808569612802102,3.8645733341761828,0.31665431845847974,0.3085696128021022,0.36457333417618254,0.31665431845847963,-0.3085696128021022,-0.36457333417618254,0.31665431845847963,1.198824647995044,0.9737683102333796,1.0712710845746791,7.833931623273648,6.281658412041975,6.994402095301613,1.24582580097184,0.8360495432986533,1.2508543125640188,1.321572700263552,0.8135798536770058,1.534392424058907,2.850642898888746,1.45206853767246,3.7221900861017194
20060316162059_ML3.2,3.200000047683716,3.3261966126497526,3.331040725823511,0.2626649662183045,8,116.62581634521484,260.1788024902344,189.27534103393555,0.00011169329604771014,0.00010655243127125717,5.242635984702846e-05,1.6712500000000001,1.8900000000000001,0.9489006797341859,3.5198890529248796,3.566931150604655,0.34001061935665905,0.3198890052411637,0.366931102920939,0.34001061935665905,-0.3198890052411637,-0.366931102920939,0.34001061935665905,1.4204117999870356,0.9545167836815647,1.1828056274357697,8.201582729427722,6.014502877702164,6.980377012135768,1.415025564012143,0.9515165793096696,1.275173676473456,1.1830374396115666,0.9958812501690182,0.6209320948302378,2.5811728617366283,2.2861780783463104,1.3881576880062838
20060403170559_ML3.8,3.799999952316284,4.086859424938136,4.098979862905283,0.2257316685374152,6,168.84536743164062,254.56124877929688,210.7468007405599,0.00020301321581713875,0.00020079646969336785,8.121853490980408e-05,1.6933333333333334,1.865,1.3429619006757663,4.013598977847759,4.036756955259465,0.2779025023508429,0.21359902553147445,0.23675700294318025,0.2779025023508426,-0.21359902553147445,-0.23675700294318025,0.2779025023508426,0.392414760186248,0.3477481478970656,0.2609338120204068,9.098941907009545,3.367687540777982,11.248341108664368,0.43368644333968626,0.33005210688786246,0.28884989214232654,2.0281678468824826,1.9029645031498719,1.1660083874204126,4.605227092807094,4.383142070054476,3.0019389405046915
20060516142759_ML2.5,3.4000000953674316,3.7568219063651167,3.89944437280797,0.2617898861413126,3,150.91827392578125,287.82720947265625,242.05821736653647,0.00022219018992510986,6.89495161270639e-05,0.00028103564708521257,1.5408333333333335,1.81,0.8753582599903501,3.848159610322052,3.672039875882845,0.4672257658684309,0.4481595149546204,0.27203978051541355,0.46722576586843095,-0.4481595149546204,-0.27203978051541355,0.46722576586843095,1.5640704256346174,1.0052643273828246,1.0112988440302755,2.6249791515371235,2.2615958050006717,1.2091632182052021,1.9124314255942974,0.9938090775123317,1.7153196429514221,1.058058603416401,0.8364958459805274,0.6605022732059245,2.29413153831341,1.7247317368204442,1.3416094970019332
20061111184259_ML3.8,3.7166666189829507,4.4109769587465895,4.556183896474575,0.45284586984740144,6,211.1722869873047,288.12274169921875,253.40064239501953,0.0002422274160820268,0.0002168243587981001,7.432335655602604e-05,1.4416666666666667,1.4100000000000001,0.8724314681776826,4.2890739406973895,4.289911317458158,0.24833651434609788,0.5724073217144382,0.4899113651418734,0.38230374581287907,-0.5724073217144382,-0.4899113651418734,0.38230374581287907,4.509625993543417,4.41656030746476,2.4976836610711692,14.55146488207634,8.759900488263952,14.519998342316113,3.9006456672059993,4.289783201481455,1.7655473008675266,1.180878210817743,1.2168296360566337,0.3057572647922221,2.49779281538344,2.2909609994242794,0.9891941236192124
