candidate_factor_to_cm,log10_candidate_factor,factor_label,n_used_summary,mean_Mpd_minus_header,median_Mpd_minus_header,std_Mpd_minus_header,mad_Mpd_minus_header,robust_sigma_Mpd_minus_header,median_abs_Mpd_minus_header
1e-09,-9.0,0.01 nm-like / 0.1 Angstrom-like,1756,1.9875777831247856,1.9668398138673102,0.5914572750960888,0.349542995666813,0.518232445375617,1.9668398138673102
1e-08,-8.0,Angstrom-like,1744,3.3466956821264127,3.335223054509666,0.5757370988639083,0.34685613824791584,0.51424891056636,3.335223054509666
1e-07,-7.0,nm,1240,4.446000864755889,4.5193429429821785,0.41247678856435194,0.24260711202263963,0.3596893042847655,4.5193429429821785
2e-07,-6.698970004336019,scale-test,718,4.61562568005253,4.7037416454910215,0.3797669637846079,0.1808724498549834,0.2681614941549984,4.7037416454910215
3e-07,-6.522878745280337,scale-test,414,4.658324956223803,4.771304867418566,0.39145457765254504,0.14659795729141134,0.21734613148024645,4.771304867418566
5e-07,-6.301029995663981,scale-test,163,4.644956473268383,4.796709986991505,0.4604725025719451,0.1439917382815299,0.2134821511761962,4.796709986991505
1e-06,-6.0,scale-test,52,4.605432898374542,4.818596448820705,0.5867187274288945,0.11754330298226368,0.17426970100150413,4.818596448820705
2e-06,-5.698970004336019,scale-test,12,4.187790925875596,4.182166098097315,0.7638747635524203,0.6917221911910048,1.0255473206597836,4.182166098097315
5e-06,-5.301029995663981,scale-test,7,4.201994295697134,4.318580171887136,0.5263606065143777,0.31766755387650214,0.47097391537730204,4.318580171887136
1e-05,-5.0,scale-test,5,4.404407398036635,4.594141424087304,0.4668086344130742,0.27926103787076784,0.4140324147472004,4.594141424087304
0.0001,-4.0,micrometer,0,,,,,,
0.001,-3.0,scale-test,0,,,,,,
0.01,-2.0,scale-test,0,,,,,,
0.1,-1.0,millimeter,0,,,,,,
1.0,0.0,scale-test,0,,,,,,
10.0,1.0,scale-test,0,,,,,,
100.0,2.0,meter,0,,,,,,
