event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header,reject_reason,pass_filter
20060106182759_ML3.6,TW,DHVB,4.368391094735699,4.368391094735699,0.3259009460540941,2,289.0690612792969,289.0690612792969,289.0690612792969,3.5999999046325684,2575.049301553548,1733.0393266137771,2006-01-06T18:29:21.760001,2006-01-06T18:31:19.612708,2006-01-06T18:29:21.760001,header,SEISAN_HUTTON_NM,4.137944325785738,4.59883786368566,4.274275330109581,891.0293516740065,2575.049301553548,1219.6157237677444,4.368391094735699,0.3259009460540941,4.274275330109581,-0.0941157646261183,0.7683911901031308,0.7683911901031308,H_component_std_too_large;,False
20060106182808,TW,DHVB,4.368391094735699,4.368391094735699,0.3259009460540941,2,289.0690612792969,289.0690612792969,289.0690612792969,3.5999999046325684,2575.049301553548,1733.0393266137771,2006-01-06T18:29:21.760001,2006-01-06T18:31:19.612708,2006-01-06T18:29:21.760001,header,SEISAN_HUTTON_NM,4.137944325785738,4.59883786368566,4.274275330109581,891.0293516740065,2575.049301553548,1219.6157237677444,4.368391094735699,0.3259009460540941,4.274275330109581,-0.0941157646261183,0.7683911901031308,0.7683911901031308,H_component_std_too_large;,False
20060115142929_ML3.0,TW,TGVB,3.2075766556819136,3.2075766556819136,0.3113439669876881,2,21.472368240356445,21.472368240356445,21.472368240356445,3.0,9971.50174170497,6794.689000435353,2006-01-15T14:29:54.109002,2006-01-15T14:29:59.913912,2006-01-15T14:29:54.109002,header,SEISAN_HUTTON_NM,3.4277300860204285,2.9874232253433988,2.790469458328996,9971.50174170497,3617.876259165736,2298.7934009676537,3.2075766556819136,0.3113439669876881,2.790469458328996,-0.4171071973529177,0.2075766556819136,0.2075766556819136,H_component_std_too_large;,False
20061123174859_ML3.0,TW,VTVB,-1.3073511884065334,-1.3073511884065334,0.5427608979095978,2,264.6025085449219,264.6025085449219,264.6025085449219,3.0,0.0094898793154991,0.0055552490463221,2006-11-23T17:52:12.199994,2006-11-23T17:53:50.201672,2006-11-23T17:52:12.199994,header,SEISAN_HUTTON_NM,-1.6911410998813097,-0.9235612769317574,-2.038763496966972,0.001620618777145,0.0094898793154991,0.0007278777927313,-1.3073511884065334,0.5427608979095978,-2.038763496966972,-0.7314123085604385,-4.307351188406534,4.307351188406534,residual_outside_bias_centered_2std;H_component_std_too_large;Z_minus_H_too_large;,False
20061123175055,TW,VTVB,-1.3073511884065334,-1.3073511884065334,0.5427608979095978,2,264.6025085449219,264.6025085449219,264.6025085449219,3.0,0.0094898793154991,0.0055552490463221,2006-11-23T17:52:12.199994,2006-11-23T17:53:50.201672,2006-11-23T17:52:12.199994,header,SEISAN_HUTTON_NM,-1.6911410998813097,-0.9235612769317574,-2.038763496966972,0.001620618777145,0.0094898793154991,0.0007278777927313,-1.3073511884065334,0.5427608979095978,-2.038763496966972,-0.7314123085604385,-4.307351188406534,4.307351188406534,residual_outside_bias_centered_2std;H_component_std_too_large;Z_minus_H_too_large;,False
20061124120359_ML3.5,TW,VTVB,0.6361070408222036,0.6361070408222036,0.0736635109836043,2,112.39444732666016,112.39444732666016,112.39444732666016,3.5,1.9473441633680828,1.7396862125950636,2006-11-24T12:05:55.379005,2006-11-24T12:06:33.928632,2006-11-24T12:05:55.379005,header,SEISAN_HUTTON_NM,0.68819500896472,0.5840190726796872,0.0777378169574518,1.9473441633680828,1.5320282618220442,0.4775133537539365,0.6361070408222036,0.0736635109836043,0.0777378169574518,-0.5583692238647517,-2.8638929591777966,2.8638929591777966,residual_outside_bias_centered_2std;,False
20070502033029_ML-nan,TW,VTVB,1.103364380464824,1.103364380464824,0.2182426872312594,2,250.63772583007812,250.63772583007812,250.63772583007812,4.400000095367432,1.6256925401569935,1.21220818771654,2007-05-02T02:03:22.449006,2007-05-02T02:04:56.190817,2007-05-02T02:03:22.449006,header,SEISAN_HUTTON_NM,0.9490434963792258,1.2576852645504224,0.7353495581251721,0.7987238352760866,1.6256925401569935,0.4883179699233826,1.103364380464824,0.2182426872312594,0.7353495581251721,-0.368014822339652,-3.2966357149026075,3.2966357149026075,residual_outside_bias_centered_2std;,False
20070502035959_ML3.5,TW,VTVB,-0.7184811981581447,-0.7184811981581447,0.0350616223800894,2,246.6997985839844,246.6997985839844,246.6997985839844,3.5,0.0188252664176197,0.0178096788462267,2007-05-02T04:03:02.470000,2007-05-02T04:04:33.866532,2007-05-02T04:03:02.470000,header,SEISAN_HUTTON_NM,-0.6936888872137814,-0.743273509102508,0.1440405837080733,0.0188252664176197,0.0167940912748337,0.1295598993733177,-0.7184811981581447,0.0350616223800894,0.1440405837080733,0.8625217818662181,-4.218481198158145,4.218481198158145,residual_outside_bias_centered_2std;Z_minus_H_too_large;,False
20070502182759_ML3.1,TW,VTVB,-1.657984528212462,-1.657984528212462,0.0508380894003685,2,248.05503845214844,248.05503845214844,248.05503845214844,3.0999999046325684,0.0021937698742976,0.0020264186745662,2007-05-02T18:31:03.788995,2007-05-02T18:32:42.469026,2007-05-02T18:31:03.788995,header,SEISAN_HUTTON_NM,-1.6939324859700309,-1.6220365704548936,-1.873635340113628,0.0018590674748347,0.0021937698742976,0.0012291143769027,-1.657984528212462,0.0508380894003685,-1.873635340113628,-0.2156508119011659,-4.7579844328450305,4.7579844328450305,residual_outside_bias_centered_2std;,False
20070531154359_ML3.3,TW,VTVB,-1.5820367395991424,-1.5820367395991424,0.0684184737334157,2,235.38673400878903,235.38673400878903,235.38673400878903,3.299999952316284,0.0030115043762237,0.0027107747253126,2007-05-31T15:45:35.770003,2007-05-31T15:47:01.824489,2007-05-31T15:45:35.770003,header,SEISAN_HUTTON_NM,-1.5336575728638104,-1.6304159063344743,-0.8422953627877385,0.0030115043762237,0.0024100450744015,0.014796047221239,-1.5820367395991424,0.0684184737334157,-0.8422953627877385,0.7397413768114038,-4.8820366919154266,4.8820366919154266,residual_outside_bias_centered_2std;Z_minus_H_too_large;,False
