EVENT,filename,distance,maxdisp,LogA0Huton83,LogA0Le08,LogA0Nguyen11,MLHuton83,MLLe08,MLNguyen11
20100102_190332_M3.2,SLVB.HHE..SAC,253.6448974609375,332898.7874419364,-3.739079860611856,-3.7679583625508855,-3.777103017154755,6.580392073887374,12.468270575826402,7.845845310087734
20100102_190332_M3.2,SLVB.HHZ..SAC,253.6448974609375,135495.8528988525,-3.739079860611856,-3.7679583625508855,-3.777103017154755,6.190005863639946,12.077884365578976,7.888197427664091
20100102_190332_M3.2,SPVB.HHE..SAC,181.56509399414062,4657109.78905867,-3.4416839459357575,-3.4529259593420774,-3.4898675494587077,7.428800422266669,13.29904243567299,7.441302214990721
20100102_190332_M3.2,SPVB.HHN..SAC,181.56509399414062,3961816.5290950816,-3.4416839459357575,-3.4529259593420774,-3.4898675494587077,7.358578305516238,13.228820318922557,7.094957011340288
20100102_190332_M3.2,SPVB.HHZ..SAC,181.56509399414062,3923956.1385291135,-3.4416839459357575,-3.4529259593420774,-3.4898675494587077,7.354408090183618,13.224650103589939,7.472907165504809
20100102_190332_M3.2,VTVB.HHE..SAC,289.8925476074219,92969.76177490935,-3.8719800414805845,-3.911108028268681,-3.8954408914231387,6.159321759607703,12.0574497463958,7.068043822632998
20100102_190332_M3.2,VTVB.HHN..SAC,289.8925476074219,155114.7998846053,-3.8719800414805845,-3.911108028268681,-3.8954408914231387,6.38163327837591,12.279761265164007,6.854482283744231
20100102_190332_M3.2,VTVB.HHZ..SAC,289.8925476074219,299164.56979991007,-3.8719800414805845,-3.911108028268681,-3.8954408914231387,6.666890200019569,12.565018186807666,7.160730517283968
20100106_232719_M3.4,SLVB.HHE..SAC,205.10757446289062,169425.33418375277,-3.5449530014265016,-3.561446942153985,-3.593299791691242,6.092931352365488,11.968425293092974,7.666468053956342
20100106_232719_M3.4,SLVB.HHN..SAC,205.10757446289062,205822.31383162286,-3.5449530014265016,-3.561446942153985,-3.593299791691242,6.177445457609094,12.052939398336578,7.69737699784635
20100106_232719_M3.4,SLVB.HHZ..SAC,205.10757446289062,92469.80005423284,-3.5449530014265016,-3.561446942153985,-3.593299791691242,5.829952919989241,11.705446860716725,7.707510319941234
