[OK] 20100102_190332_M3.2 | SLVB.HHE..SAC | unit=m | phase_source=header_PS | dist=253.645 km | maxdisp=3.328988e+05 mm | maxvel=1.171500e+07 mm
[OK] 20100102_190332_M3.2 | SLVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=253.645 km | maxdisp=1.354959e+05 mm | maxvel=1.291500e+07 mm
[OK] 20100102_190332_M3.2 | SPVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=181.565 km | maxdisp=4.657110e+06 mm | maxvel=8.942000e+06 mm
[OK] 20100102_190332_M3.2 | SPVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=181.565 km | maxdisp=3.961817e+06 mm | maxvel=4.028000e+06 mm
[OK] 20100102_190332_M3.2 | SPVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=181.565 km | maxdisp=3.923956e+06 mm | maxvel=9.617000e+06 mm
[OK] 20100102_190332_M3.2 | VTVB.HHE..SAC | unit=m | phase_source=header_PS | dist=289.893 km | maxdisp=9.296976e+04 mm | maxvel=1.488000e+06 mm
[OK] 20100102_190332_M3.2 | VTVB.HHN..SAC | unit=m | phase_source=header_PS | dist=289.893 km | maxdisp=1.551148e+05 mm | maxvel=9.100000e+05 mm
[OK] 20100102_190332_M3.2 | VTVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=289.893 km | maxdisp=2.991646e+05 mm | maxvel=1.842000e+06 mm
[OK] 20100106_232719_M3.4 | SLVB.HHE..SAC | unit=m | phase_source=header_PS | dist=205.108 km | maxdisp=1.694253e+05 mm | maxvel=1.183500e+07 mm
[OK] 20100106_232719_M3.4 | SLVB.HHN..SAC | unit=m | phase_source=header_PS | dist=205.108 km | maxdisp=2.058223e+05 mm | maxvel=1.270800e+07 mm
[OK] 20100106_232719_M3.4 | SLVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=205.108 km | maxdisp=9.246980e+04 mm | maxvel=1.300800e+07 mm
[OK] 20100106_232719_M3.4 | SPVB.HHE..SAC | unit=m | phase_source=header_PS | dist=132.494 km | maxdisp=1.528873e+06 mm | maxvel=1.405300e+07 mm
[OK] 20100106_232719_M3.4 | SPVB.HHN..SAC | unit=m | phase_source=header_PS | dist=132.494 km | maxdisp=6.379865e+06 mm | maxvel=6.983000e+06 mm
[OK] 20100106_232719_M3.4 | SPVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=132.494 km | maxdisp=5.749914e+06 mm | maxvel=1.312000e+07 mm
[OK] 20100622_155454_M3.4 | CCVB.HHE..SAC | unit=m | phase_source=header_PS | dist=406.373 km | maxdisp=1.028415e+05 mm | maxvel=1.026000e+06 mm
[OK] 20100622_155454_M3.4 | CCVB.HHN..SAC | unit=m | phase_source=header_PS | dist=406.373 km | maxdisp=3.971463e+05 mm | maxvel=8.230000e+05 mm
[OK] 20100622_155454_M3.4 | CCVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=406.373 km | maxdisp=2.482924e+05 mm | maxvel=7.522000e+06 mm
[OK] 20100622_155454_M3.4 | HBVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=370.837 km | maxdisp=1.263598e+05 mm | maxvel=1.612000e+06 mm
[OK] 20100622_155454_M3.4 | HBVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=370.837 km | maxdisp=5.104523e+04 mm | maxvel=3.590000e+06 mm
[OK] 20100622_155454_M3.4 | HBVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=370.837 km | maxdisp=1.129515e+05 mm | maxvel=1.073500e+07 mm
[OK] 20100622_155454_M3.4 | HGVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=372.729 km | maxdisp=5.598158e+05 mm | maxvel=4.910000e+05 mm
[OK] 20100622_155454_M3.4 | HGVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=372.729 km | maxdisp=1.022941e+05 mm | maxvel=5.968000e+06 mm
[OK] 20100622_155454_M3.4 | MCVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=299.635 km | maxdisp=9.071997e+04 mm | maxvel=9.640000e+05 mm
[OK] 20100622_155454_M3.4 | MCVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=299.635 km | maxdisp=1.631528e+05 mm | maxvel=2.164000e+06 mm
[OK] 20100622_155454_M3.4 | SPVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=245.434 km | maxdisp=9.666328e+04 mm | maxvel=4.055000e+06 mm
[OK] 20100622_155454_M3.4 | SPVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=245.434 km | maxdisp=5.120823e+05 mm | maxvel=1.535000e+06 mm
[OK] 20100622_155454_M3.4 | SPVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=245.434 km | maxdisp=2.002813e+05 mm | maxvel=4.575000e+06 mm
[OK] 20100906_041310_M3.4 | TGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=212.515 km | maxdisp=2.390207e+05 mm | maxvel=3.023000e+06 mm
[OK] 20100906_041310_M3.4 | TGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=212.515 km | maxdisp=9.158000e+05 mm | maxvel=5.356000e+06 mm
[OK] 20100906_041310_M3.4 | TGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=212.515 km | maxdisp=3.145242e+05 mm | maxvel=3.966000e+06 mm
[OK] 20101010_204633_M3.3 | MCVB.HHE..SAC | unit=m | phase_source=header_PS | dist=257.520 km | maxdisp=1.686489e+05 mm | maxvel=1.156000e+06 mm
[OK] 20101010_204633_M3.3 | MCVB.HHN..SAC | unit=m | phase_source=header_PS | dist=257.520 km | maxdisp=1.023371e+05 mm | maxvel=1.574000e+06 mm
[OK] 20101010_204633_M3.3 | MCVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=257.520 km | maxdisp=1.548054e+05 mm | maxvel=1.912000e+06 mm
[OK] 20101010_204633_M3.3 | MLVB.HHE..SAC | unit=m | phase_source=header_PS | dist=186.153 km | maxdisp=4.974783e+05 mm | maxvel=1.426700e+07 mm
[OK] 20101010_204633_M3.3 | MLVB.HHN..SAC | unit=m | phase_source=header_PS | dist=186.153 km | maxdisp=5.021045e+05 mm | maxvel=1.414600e+07 mm
[OK] 20101010_204633_M3.3 | MLVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=186.153 km | maxdisp=3.429823e+05 mm | maxvel=1.423100e+07 mm
[OK] 20101010_204633_M3.3 | TGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=167.285 km | maxdisp=2.433884e+05 mm | maxvel=2.956000e+06 mm
[OK] 20101010_204633_M3.3 | TGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=167.285 km | maxdisp=4.286775e+05 mm | maxvel=4.567000e+06 mm
[OK] 20101010_204633_M3.3 | TGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=167.285 km | maxdisp=4.205548e+05 mm | maxvel=4.718000e+06 mm
[OK] 20101010_204633_M3.3 | TTVB.HHE..SAC | unit=m | phase_source=header_PS | dist=247.060 km | maxdisp=3.371298e+05 mm | maxvel=1.556000e+06 mm
[OK] 20101010_204633_M3.3 | TTVB.HHN..SAC | unit=m | phase_source=header_PS | dist=247.060 km | maxdisp=3.197891e+05 mm | maxvel=1.075000e+06 mm
[OK] 20101010_204633_M3.3 | TTVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=247.060 km | maxdisp=2.985593e+05 mm | maxvel=2.830000e+06 mm
[OK] 20110205_153128_M3.0 | DBVB.HHE..SAC | unit=m | phase_source=header_PS | dist=101.153 km | maxdisp=1.046877e+06 mm | maxvel=3.971000e+06 mm
[OK] 20110205_153128_M3.0 | DBVB.HHN..SAC | unit=m | phase_source=header_PS | dist=101.153 km | maxdisp=8.900190e+05 mm | maxvel=3.333000e+06 mm
[OK] 20110205_153128_M3.0 | DBVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=101.153 km | maxdisp=7.084632e+05 mm | maxvel=3.742000e+06 mm
[OK] 20110205_153128_M3.0 | HGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=203.462 km | maxdisp=8.326787e+05 mm | maxvel=5.900000e+05 mm
[OK] 20110205_153128_M3.0 | HGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=203.462 km | maxdisp=5.403264e+05 mm | maxvel=1.260000e+06 mm
[OK] 20110205_153128_M3.0 | HGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=203.462 km | maxdisp=1.411301e+05 mm | maxvel=3.581000e+06 mm
[OK] 20110205_153128_M3.0 | SPVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=77.177 km | maxdisp=1.588066e+06 mm | maxvel=6.481000e+06 mm
[OK] 20110205_153128_M3.0 | SPVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=77.177 km | maxdisp=3.373780e+05 mm | maxvel=3.526000e+06 mm
[OK] 20110205_153128_M3.0 | SPVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=77.177 km | maxdisp=2.706008e+05 mm | maxvel=9.841000e+06 mm
[OK] 20110205_153128_M3.0 | TGVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=84.984 km | maxdisp=1.470803e+05 mm | maxvel=3.776000e+06 mm
[OK] 20110205_153128_M3.0 | TGVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=84.984 km | maxdisp=2.400062e+05 mm | maxvel=4.438000e+06 mm
[OK] 20110205_153128_M3.0 | TGVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=84.984 km | maxdisp=1.415578e+05 mm | maxvel=4.989000e+06 mm
[OK] 20110205_153128_M3.0 | TTVB.HHE..SAC | unit=m | phase_source=header_PS | dist=161.215 km | maxdisp=1.511815e+05 mm | maxvel=1.791000e+06 mm
[OK] 20110205_153128_M3.0 | TTVB.HHN..SAC | unit=m | phase_source=header_PS | dist=161.215 km | maxdisp=5.461367e+05 mm | maxvel=1.313000e+06 mm
[OK] 20110205_153128_M3.0 | TTVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=161.215 km | maxdisp=8.914577e+04 mm | maxvel=1.040000e+06 mm
[OK] 20110224_200421_M3.3 | DBVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=70.669 km | maxdisp=9.426284e+05 mm | maxvel=1.145048e+09 mm
[OK] 20110224_200421_M3.3 | DBVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=70.669 km | maxdisp=1.599043e+06 mm | maxvel=3.914815e+09 mm
[OK] 20110224_200421_M3.3 | DBVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=70.669 km | maxdisp=1.554017e+06 mm | maxvel=3.184933e+09 mm
[OK] 20110224_200421_M3.3 | HBVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=211.515 km | maxdisp=3.326652e+05 mm | maxvel=5.584000e+06 mm
[OK] 20110224_200421_M3.3 | HBVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=211.515 km | maxdisp=2.681905e+05 mm | maxvel=7.994000e+06 mm
[OK] 20110224_200421_M3.3 | HBVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=211.515 km | maxdisp=2.340279e+05 mm | maxvel=1.274900e+07 mm
[OK] 20110224_200421_M3.3 | MCVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=139.490 km | maxdisp=5.357250e+05 mm | maxvel=6.687000e+06 mm
[OK] 20110224_200421_M3.3 | MCVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=139.490 km | maxdisp=2.338210e+05 mm | maxvel=5.738000e+06 mm
[OK] 20110224_200421_M3.3 | MCVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=139.490 km | maxdisp=3.836599e+05 mm | maxvel=7.694000e+06 mm
[OK] 20110224_200421_M3.3 | MLVB.HHE..SAC | unit=m | phase_source=header_PS | dist=137.515 km | maxdisp=6.297238e+05 mm | maxvel=2.042800e+07 mm
[OK] 20110224_200421_M3.3 | MLVB.HHN..SAC | unit=m | phase_source=header_PS | dist=137.515 km | maxdisp=6.980312e+05 mm | maxvel=2.570200e+07 mm
[OK] 20110224_200421_M3.3 | MLVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=137.515 km | maxdisp=3.766875e+05 mm | maxvel=2.115500e+07 mm
[OK] 20110224_200421_M3.3 | SPVB.HHE..SAC | unit=m | phase_source=header_PS | dist=184.638 km | maxdisp=6.424840e+06 mm | maxvel=1.251300e+07 mm
[OK] 20110224_200421_M3.3 | SPVB.HHN..SAC | unit=m | phase_source=header_PS | dist=184.638 km | maxdisp=2.892464e+06 mm | maxvel=4.724000e+06 mm
[OK] 20110224_200421_M3.3 | SPVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=184.638 km | maxdisp=5.915817e+05 mm | maxvel=7.776000e+06 mm
[OK] 20110224_200421_M3.3 | TGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=87.852 km | maxdisp=6.582834e+05 mm | maxvel=1.085000e+07 mm
[OK] 20110224_200421_M3.3 | TGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=87.852 km | maxdisp=4.429722e+05 mm | maxvel=7.556000e+06 mm
[OK] 20110224_200421_M3.3 | TGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=87.852 km | maxdisp=4.849913e+05 mm | maxvel=8.467000e+06 mm
[OK] 20110224_200421_M3.3 | THVB.HHE..SAC | unit=m | phase_source=header_PS | dist=280.339 km | maxdisp=1.216106e+05 mm | maxvel=1.528000e+06 mm
[OK] 20110224_200421_M3.3 | THVB.HHN..SAC | unit=m | phase_source=header_PS | dist=280.339 km | maxdisp=2.296372e+05 mm | maxvel=1.889000e+06 mm
[OK] 20110224_200421_M3.3 | THVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=280.339 km | maxdisp=2.116458e+05 mm | maxvel=1.335000e+06 mm
[OK] 20110224_200421_M3.3 | TTVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=134.058 km | maxdisp=5.792225e+05 mm | maxvel=5.794000e+06 mm
[OK] 20110224_200421_M3.3 | TTVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=134.058 km | maxdisp=7.364884e+05 mm | maxvel=5.353000e+06 mm
[OK] 20110224_200421_M3.3 | TTVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=134.058 km | maxdisp=4.294526e+05 mm | maxvel=4.748000e+06 mm
[OK] 20110317_181056_M3.1 | BCVB.HHE..SAC | unit=m | phase_source=header_PS | dist=194.138 km | maxdisp=6.237653e+05 mm | maxvel=1.937000e+06 mm
[OK] 20110317_181056_M3.1 | BCVB.HHN..SAC | unit=m | phase_source=header_PS | dist=194.138 km | maxdisp=7.009174e+05 mm | maxvel=2.040000e+06 mm
[OK] 20110317_181056_M3.1 | BCVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=194.138 km | maxdisp=1.753971e+05 mm | maxvel=2.527000e+06 mm
[OK] 20110317_181056_M3.1 | CBVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=209.117 km | maxdisp=1.184603e+06 mm | maxvel=1.133000e+06 mm
[OK] 20110317_181056_M3.1 | CBVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=209.117 km | maxdisp=3.267573e+05 mm | maxvel=2.576000e+06 mm
[OK] 20110317_181056_M3.1 | DBVB.HHE..SAC | unit=m | phase_source=header_PS | dist=196.020 km | maxdisp=8.157401e+06 mm | maxvel=3.614000e+06 mm
[OK] 20110317_181056_M3.1 | DBVB.HHN..SAC | unit=m | phase_source=header_PS | dist=196.020 km | maxdisp=5.385071e+06 mm | maxvel=2.478000e+06 mm
[OK] 20110317_181056_M3.1 | DBVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=196.020 km | maxdisp=6.318956e+06 mm | maxvel=4.735000e+06 mm
[OK] 20110317_181056_M3.1 | HBVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=247.978 km | maxdisp=3.093930e+05 mm | maxvel=2.723000e+06 mm
[OK] 20110317_181056_M3.1 | HBVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=247.978 km | maxdisp=4.399847e+05 mm | maxvel=3.894000e+06 mm
[OK] 20110317_181056_M3.1 | HBVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=247.978 km | maxdisp=3.210353e+05 mm | maxvel=9.195000e+06 mm
[OK] 20110317_181056_M3.1 | HGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=85.021 km | maxdisp=5.490668e+05 mm | maxvel=1.761300e+07 mm
[OK] 20110317_181056_M3.1 | HGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=85.021 km | maxdisp=6.384291e+05 mm | maxvel=2.081000e+07 mm
[OK] 20110317_181056_M3.1 | HGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=85.021 km | maxdisp=3.908063e+05 mm | maxvel=1.791500e+07 mm
[OK] 20110317_181056_M3.1 | SPVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=55.936 km | maxdisp=9.229182e+05 mm | maxvel=3.066100e+07 mm
[OK] 20110317_181056_M3.1 | SPVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=55.936 km | maxdisp=3.963123e+05 mm | maxvel=2.131200e+07 mm
[OK] 20110317_181056_M3.1 | SPVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=55.936 km | maxdisp=6.893701e+05 mm | maxvel=2.924900e+07 mm
[OK] 20110317_181056_M3.1 | TGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=154.439 km | maxdisp=2.553277e+05 mm | maxvel=1.683000e+06 mm
